Rainfall - (MM), Year, Statistics, Country, ISO3
207.2, 1910, Sep Average, Indonesia, IDN
230.1, 1910, Oct Average, Indonesia, IDN
289.5, 1910, Nov Average, Indonesia, IDN
304.0, 1910, Dec Average, Indonesia, IDN
271.9, 1911, Jan Average, Indonesia, IDN
213.4, 1911, Feb Average, Indonesia, IDN
228.9, 1911, Mar Average, Indonesia, IDN
251.3, 1911, Apr Average, Indonesia, IDN
246.6, 1911, May Average, Indonesia, IDN
170.6, 1911, Jun Average, Indonesia, IDN
150.8, 1911, Jul Average, Indonesia, IDN
141.8, 1911, Aug Average, Indonesia, IDN
156.5, 1911, Sep Average, Indonesia, IDN
211.3, 1911, Oct Average, Indonesia, IDN
260.8, 1911, Nov Average, Indonesia, IDN
310.1, 1911, Dec Average, Indonesia, IDN
264.8, 1912, Jan Average, Indonesia, IDN
293.3, 1912, Feb Average, Indonesia, IDN
267.4, 1912, Mar Average, Indonesia, IDN
244.5, 1912, Apr Average, Indonesia, IDN
261.5, 1912, May Average, Indonesia, IDN
208.4, 1912, Jun Average, Indonesia, IDN
171.9, 1912, Jul Average, Indonesia, IDN
153.0, 1912, Aug Average, Indonesia, IDN
158.9, 1912, Sep Average, Indonesia, IDN
209.9, 1912, Oct Average, Indonesia, IDN
268.2, 1912, Nov Average, Indonesia, IDN
288.9, 1912, Dec Average, Indonesia, IDN
297.5, 1913, Jan Average, Indonesia, IDN
244.9, 1913, Feb Average, Indonesia, IDN
307.0, 1913, Mar Average, Indonesia, IDN
287.5, 1913, Apr Average, Indonesia, IDN
257.1, 1913, May Average, Indonesia, IDN
196.2, 1913, Jun Average, Indonesia, IDN
164.2, 1913, Jul Average, Indonesia, IDN
145.9, 1913, Aug Average, Indonesia, IDN
160.9, 1913, Sep Average, Indonesia, IDN
191.0, 1913, Oct Average, Indonesia, IDN
237.2, 1913, Nov Average, Indonesia, IDN
295.2, 1913, Dec Average, Indonesia, IDN
303.1, 1914, Jan Average, Indonesia, IDN
231.8, 1914, Feb Average, Indonesia, IDN
271.6, 1914, Mar Average, Indonesia, IDN
272.7, 1914, Apr Average, Indonesia, IDN
219.0, 1914, May Average, Indonesia, IDN
182.2, 1914, Jun Average, Indonesia, IDN
104.9, 1914, Jul Average, Indonesia, IDN
131.9, 1914, Aug Average, Indonesia, IDN
118.4, 1914, Sep Average, Indonesia, IDN
165.0, 1914, Oct Average, Indonesia, IDN
228.2, 1914, Nov Average, Indonesia, IDN
270.8, 1914, Dec Average, Indonesia, IDN
289.4, 1915, Jan Average, Indonesia, IDN
231.1, 1915, Feb Average, Indonesia, IDN
266.8, 1915, Mar Average, Indonesia, IDN
273.2, 1915, Apr Average, Indonesia, IDN
261.8, 1915, May Average, Indonesia, IDN
187.5, 1915, Jun Average, Indonesia, IDN
150.3, 1915, Jul Average, Indonesia, IDN
178.3, 1915, Aug Average, Indonesia, IDN
190.5, 1915, Sep Average, Indonesia, IDN
217.5, 1915, Oct Average, Indonesia, IDN
301.2, 1915, Nov Average, Indonesia, IDN
