tasmax, Year, Statistics, Country, ISO3
-0.9, 1912, Oct Average, Canada, CAN
-9.3, 1912, Nov Average, Canada, CAN
-16.0, 1912, Dec Average, Canada, CAN
-22.6, 1913, Jan Average, Canada, CAN
-20.0, 1913, Feb Average, Canada, CAN
-15.9, 1913, Mar Average, Canada, CAN
-4.2, 1913, Apr Average, Canada, CAN
3.5, 1913, May Average, Canada, CAN
12.2, 1913, Jun Average, Canada, CAN
15.4, 1913, Jul Average, Canada, CAN
13.8, 1913, Aug Average, Canada, CAN
7.1, 1913, Sep Average, Canada, CAN
-2.1, 1913, Oct Average, Canada, CAN
-9.4, 1913, Nov Average, Canada, CAN
-14.9, 1913, Dec Average, Canada, CAN
-20.3, 1914, Jan Average, Canada, CAN
-22.0, 1914, Feb Average, Canada, CAN
-14.1, 1914, Mar Average, Canada, CAN
-5.3, 1914, Apr Average, Canada, CAN
4.7, 1914, May Average, Canada, CAN
11.6, 1914, Jun Average, Canada, CAN
16.3, 1914, Jul Average, Canada, CAN
13.9, 1914, Aug Average, Canada, CAN
7.3, 1914, Sep Average, Canada, CAN
0.4, 1914, Oct Average, Canada, CAN
-10.0, 1914, Nov Average, Canada, CAN
-18.8, 1914, Dec Average, Canada, CAN
-19.4, 1915, Jan Average, Canada, CAN
-17.7, 1915, Feb Average, Canada, CAN
-13.0, 1915, Mar Average, Canada, CAN
-1.6, 1915, Apr Average, Canada, CAN
4.4, 1915, May Average, Canada, CAN
10.9, 1915, Jun Average, Canada, CAN
15.4, 1915, Jul Average, Canada, CAN
15.1, 1915, Aug Average, Canada, CAN
6.9, 1915, Sep Average, Canada, CAN
-0.9, 1915, Oct Average, Canada, CAN
-10.4, 1915, Nov Average, Canada, CAN
-15.7, 1915, Dec Average, Canada, CAN
-24.3, 1916, Jan Average, Canada, CAN
-19.7, 1916, Feb Average, Canada, CAN
-15.7, 1916, Mar Average, Canada, CAN
-4.3, 1916, Apr Average, Canada, CAN
3.6, 1916, May Average, Canada, CAN
11.3, 1916, Jun Average, Canada, CAN
16.1, 1916, Jul Average, Canada, CAN
13.8, 1916, Aug Average, Canada, CAN
7.4, 1916, Sep Average, Canada, CAN
-1.6, 1916, Oct Average, Canada, CAN
-10.2, 1916, Nov Average, Canada, CAN
-19.6, 1916, Dec Average, Canada, CAN
-22.4, 1917, Jan Average, Canada, CAN
-22.0, 1917, Feb Average, Canada, CAN
-14.7, 1917, Mar Average, Canada, CAN
-6.3, 1917, Apr Average, Canada, CAN
3.3, 1917, May Average, Canada, CAN
10.5, 1917, Jun Average, Canada, CAN
16.2, 1917, Jul Average, Canada, CAN
13.8, 1917, Aug Average, Canada, CAN
7.9, 1917, Sep Average, Canada, CAN
-2.5, 1917, Oct Average, Canada, CAN
-8.1, 1917, Nov Average, Canada, CAN
-22.5, 1917, Dec Average, Canada, CAN
-21.7, 1918, Jan Average, Canada, CAN
-20.9, 1918, Feb Average, Canada, CAN
-14.5, 1918, Mar Average, Canada, CAN
-5.0, 1918, Apr Average, Canada, CAN
2.8, 1918, May Average, Canada, CAN
11.1, 1918, Jun Average, Canada, CAN
15.5, 1918, Jul Average, Canada, CAN
13.4, 1918, Aug Average, Canada, CAN
7.7, 1918, Sep Average, Canada, CAN
-1.0, 1918, Oct Average, Canada, CAN
-9.7, 1918, Nov Average, Canada, CAN
-15.9, 1918, Dec Average, Canada, CAN
-17.1, 1919, Jan Average, Canada, CAN
-20.0, 1919, Feb Average, Canada, CAN
-16.5, 1919, Mar Average, Canada, CAN
-4.1, 1919, Apr Average, Canada, CAN
4.4, 1919, May Average, Canada, CAN
12.0, 1919, Jun Average, Canada, CAN
16.0, 1919, Jul Average, Canada, CAN
14.5, 1919, Aug Average, Canada, CAN
8.0, 1919, Sep Average, Canada, CAN
-2.6, 1919, Oct Average, Canada, CAN
-13.2, 1919, Nov Average, Canada, CAN
-18.5, 1919, Dec Average, Canada, CAN
-22.3, 1920, Jan Average, Canada, CAN
-16.8, 1920, Feb Average, Canada, CAN
-14.6, 1920, Mar Average, Canada, CAN
-7.5, 1920, Apr Average, Canada, CAN
3.6, 1920, May Average, Canada, CAN
11.2, 1920, Jun Average, Canada, CAN
16.6, 1920, Jul Average, Canada, CAN
14.4, 1920, Aug Average, Canada, CAN
7.7, 1920, Sep Average, Canada, CAN
-0.6, 1920, Oct Average, Canada, CAN
-10.3, 1920, Nov Average, Canada, CAN
-17.1, 1920, Dec Average, Canada, CAN
-19.8, 1921, Jan Average, Canada, CAN
-18.2, 1921, Feb Average, Canada, CAN
-15.0, 1921, Mar Average, Canada, CAN
-4.7, 1921, Apr Average, Canada, CAN
4.4, 1921, May Average, Canada, CAN
12.8, 1921, Jun Average, Canada, CAN
16.7, 1921, Jul Average, Canada, CAN
13.5, 1921, Aug Average, Canada, CAN
7.0, 1921, Sep Average, Canada, CAN
