tasmax, Year, Statistics, Country, ISO3
25.4, 1911, Aug Average, Germany, DEU
20.1, 1911, Sep Average, Germany, DEU
12.8, 1911, Oct Average, Germany, DEU
7.6, 1911, Nov Average, Germany, DEU
4.9, 1911, Dec Average, Germany, DEU
0.9, 1912, Jan Average, Germany, DEU
5.8, 1912, Feb Average, Germany, DEU
9.9, 1912, Mar Average, Germany, DEU
12.1, 1912, Apr Average, Germany, DEU
17.0, 1912, May Average, Germany, DEU
20.5, 1912, Jun Average, Germany, DEU
23.4, 1912, Jul Average, Germany, DEU
18.4, 1912, Aug Average, Germany, DEU
14.1, 1912, Sep Average, Germany, DEU
10.7, 1912, Oct Average, Germany, DEU
4.8, 1912, Nov Average, Germany, DEU
5.6, 1912, Dec Average, Germany, DEU
2.0, 1913, Jan Average, Germany, DEU
4.8, 1913, Feb Average, Germany, DEU
10.5, 1913, Mar Average, Germany, DEU
13.0, 1913, Apr Average, Germany, DEU
17.6, 1913, May Average, Germany, DEU
19.5, 1913, Jun Average, Germany, DEU
19.1, 1913, Jul Average, Germany, DEU
20.0, 1913, Aug Average, Germany, DEU
17.7, 1913, Sep Average, Germany, DEU
13.9, 1913, Oct Average, Germany, DEU
9.2, 1913, Nov Average, Germany, DEU
4.0, 1913, Dec Average, Germany, DEU
-0.5, 1914, Jan Average, Germany, DEU
7.0, 1914, Feb Average, Germany, DEU
8.4, 1914, Mar Average, Germany, DEU
15.3, 1914, Apr Average, Germany, DEU
15.6, 1914, May Average, Germany, DEU
19.5, 1914, Jun Average, Germany, DEU
22.3, 1914, Jul Average, Germany, DEU
22.6, 1914, Aug Average, Germany, DEU
17.5, 1914, Sep Average, Germany, DEU
11.5, 1914, Oct Average, Germany, DEU
5.7, 1914, Nov Average, Germany, DEU
5.7, 1914, Dec Average, Germany, DEU
2.3, 1915, Jan Average, Germany, DEU
3.9, 1915, Feb Average, Germany, DEU
5.3, 1915, Mar Average, Germany, DEU
11.9, 1915, Apr Average, Germany, DEU
18.8, 1915, May Average, Germany, DEU
23.1, 1915, Jun Average, Germany, DEU
21.2, 1915, Jul Average, Germany, DEU
19.8, 1915, Aug Average, Germany, DEU
17.0, 1915, Sep Average, Germany, DEU
9.4, 1915, Oct Average, Germany, DEU
4.1, 1915, Nov Average, Germany, DEU
5.8, 1915, Dec Average, Germany, DEU
5.8, 1916, Jan Average, Germany, DEU
3.9, 1916, Feb Average, Germany, DEU
7.8, 1916, Mar Average, Germany, DEU
13.3, 1916, Apr Average, Germany, DEU
18.3, 1916, May Average, Germany, DEU
17.5, 1916, Jun Average, Germany, DEU
20.6, 1916, Jul Average, Germany, DEU
20.7, 1916, Aug Average, Germany, DEU
16.7, 1916, Sep Average, Germany, DEU
12.0, 1916, Oct Average, Germany, DEU
7.3, 1916, Nov Average, Germany, DEU
3.9, 1916, Dec Average, Germany, DEU
-0.5, 1917, Jan Average, Germany, DEU
-0.0, 1917, Feb Average, Germany, DEU
3.8, 1917, Mar Average, Germany, DEU
8.5, 1917, Apr Average, Germany, DEU
21.0, 1917, May Average, Germany, DEU
24.6, 1917, Jun Average, Germany, DEU
22.6, 1917, Jul Average, Germany, DEU
21.6, 1917, Aug Average, Germany, DEU
20.1, 1917, Sep Average, Germany, DEU
11.0, 1917, Oct Average, Germany, DEU
7.5, 1917, Nov Average, Germany, DEU
0.3, 1917, Dec Average, Germany, DEU
3.6, 1918, Jan Average, Germany, DEU
4.7, 1918, Feb Average, Germany, DEU
8.8, 1918, Mar Average, Germany, DEU
13.7, 1918, Apr Average, Germany, DEU
19.6, 1918, May Average, Germany, DEU
18.2, 1918, Jun Average, Germany, DEU
21.5, 1918, Jul Average, Germany, DEU
20.9, 1918, Aug Average, Germany, DEU
17.7, 1918, Sep Average, Germany, DEU
11.5, 1918, Oct Average, Germany, DEU
5.8, 1918, Nov Average, Germany, DEU
5.7, 1918, Dec Average, Germany, DEU
2.6, 1919, Jan Average, Germany, DEU
2.5, 1919, Feb Average, Germany, DEU
6.7, 1919, Mar Average, Germany, DEU
9.9, 1919, Apr Average, Germany, DEU
17.3, 1919, May Average, Germany, DEU
20.5, 1919, Jun Average, Germany, DEU
19.0, 1919, Jul Average, Germany, DEU
21.7, 1919, Aug Average, Germany, DEU
20.3, 1919, Sep Average, Germany, DEU
9.5, 1919, Oct Average, Germany, DEU
3.0, 1919, Nov Average, Germany, DEU
3.1, 1919, Dec Average, Germany, DEU
4.5, 1920, Jan Average, Germany, DEU
6.8, 1920, Feb Average, Germany, DEU
11.1, 1920, Mar Average, Germany, DEU
13.7, 1920, Apr Average, Germany, DEU
19.1, 1920, May Average, Germany, DEU
20.1, 1920, Jun Average, Germany, DEU
22.7, 1920, Jul Average, Germany, DEU
19.7, 1920, Aug Average, Germany, DEU
17.3, 1920, Sep Average, Germany, DEU
11.6, 1920, Oct Average, Germany, DEU
5.0, 1920, Nov Average, Germany, DEU
2.6, 1920, Dec Average, Germany, DEU
6.3, 1921, Jan Average, Germany, DEU
4.2, 1921, Feb Average, Germany, DEU
10.8, 1921, Mar Average, Germany, DEU
13.1, 1921, Apr Average, Germany, DEU
19.5, 1921, May Average, Germany, DEU
19.5, 1921, Jun Average, Germany, DEU
24.5, 1921, Jul Average, Germany, DEU
23.0, 1921, Aug Average, Germany, DEU
19.3, 1921, Sep Average, Germany, DEU
16.0, 1921, Oct Average, Germany, DEU
2.7, 1921, Nov Average, Germany, DEU
3.2, 1921, Dec Average, Germany, DEU
0.1, 1922, Jan Average, Germany, DEU
2.4, 1922, Feb Average, Germany, DEU
7.5, 1922, Mar Average, Germany, DEU
10.0, 1922, Apr Average, Germany, DEU
19.2, 1922, May Average, Germany, DEU
20.7, 1922, Jun Average, Germany, DEU
20.4, 1922, Jul Average, Germany, DEU
20.4, 1922, Aug Average, Germany, DEU
15.3, 1922, Sep Average, Germany, DEU
8.7, 1922, Oct Average, Germany, DEU
5.1, 1922, Nov Average, Germany, DEU
4.1, 1922, Dec Average, Germany, DEU
3.2, 1923, Jan Average, Germany, DEU
3.5, 1923, Feb Average, Germany, DEU
9.0, 1923, Mar Average, Germany, DEU
11.9, 1923, Apr Average, Germany, DEU
16.3, 1923, May Average, Germany, DEU
15.8, 1923, Jun Average, Germany, DEU
24.0, 1923, Jul Average, Germany, DEU
21.2, 1923, Aug Average, Germany, DEU
17.8, 1923, Sep Average, Germany, DEU
14.0, 1923, Oct Average, Germany, DEU
5.5, 1923, Nov Average, Germany, DEU
0.7, 1923, Dec Average, Germany, DEU
0.2, 1924, Jan Average, Germany, DEU
0.3, 1924, Feb Average, Germany, DEU
6.4, 1924, Mar Average, Germany, DEU
10.7, 1924, Apr Average, Germany, DEU
18.5, 1924, May Average, Germany, DEU
20.1, 1924, Jun Average, Germany, DEU
21.7, 1924, Jul Average, Germany, DEU
19.0, 1924, Aug Average, Germany, DEU
18.2, 1924, Sep Average, Germany, DEU
13.3, 1924, Oct Average, Germany, DEU
6.3, 1924, Nov Average, Germany, DEU
4.0, 1924, Dec Average, Germany, DEU
4.7, 1925, Jan Average, Germany, DEU
6.7, 1925, Feb Average, Germany, DEU
5.1, 1925, Mar Average, Germany, DEU
13.2, 1925, Apr Average, Germany, DEU
19.2, 1925, May Average, Germany, DEU
20.3, 1925, Jun Average, Germany, DEU
23.1, 1925, Jul Average, Germany, DEU
21.1, 1925, Aug Average, Germany, DEU
15.3, 1925, Sep Average, Germany, DEU
12.5, 1925, Oct Average, Germany, DEU
4.4, 1925, Nov Average, Germany, DEU
2.2, 1925, Dec Average, Germany, DEU
2.2, 1926, Jan Average, Germany, DEU
6.9, 1926, Feb Average, Germany, DEU
7.9, 1926, Mar Average, Germany, DEU
15.4, 1926, Apr Average, Germany, DEU
15.4, 1926, May Average, Germany, DEU
18.2, 1926, Jun Average, Germany, DEU
