tasmax, Year, Statistics, Country, ISO3
24.26, 1912, Aug Average, China, CHN
19.91, 1912, Sep Average, China, CHN
14.06, 1912, Oct Average, China, CHN
5.88, 1912, Nov Average, China, CHN
-0.08, 1912, Dec Average, China, CHN
0.03, 1913, Jan Average, China, CHN
1.85, 1913, Feb Average, China, CHN
7.27, 1913, Mar Average, China, CHN
14.26, 1913, Apr Average, China, CHN
19.70, 1913, May Average, China, CHN
23.50, 1913, Jun Average, China, CHN
25.33, 1913, Jul Average, China, CHN
24.38, 1913, Aug Average, China, CHN
20.01, 1913, Sep Average, China, CHN
13.98, 1913, Oct Average, China, CHN
5.31, 1913, Nov Average, China, CHN
-0.24, 1913, Dec Average, China, CHN
-2.37, 1914, Jan Average, China, CHN
0.38, 1914, Feb Average, China, CHN
6.46, 1914, Mar Average, China, CHN
13.37, 1914, Apr Average, China, CHN
19.34, 1914, May Average, China, CHN
23.02, 1914, Jun Average, China, CHN
24.91, 1914, Jul Average, China, CHN
24.08, 1914, Aug Average, China, CHN
19.95, 1914, Sep Average, China, CHN
14.08, 1914, Oct Average, China, CHN
6.67, 1914, Nov Average, China, CHN
1.40, 1914, Dec Average, China, CHN
-1.10, 1915, Jan Average, China, CHN
0.68, 1915, Feb Average, China, CHN
6.25, 1915, Mar Average, China, CHN
13.76, 1915, Apr Average, China, CHN
19.67, 1915, May Average, China, CHN
23.07, 1915, Jun Average, China, CHN
25.08, 1915, Jul Average, China, CHN
24.82, 1915, Aug Average, China, CHN
19.99, 1915, Sep Average, China, CHN
13.86, 1915, Oct Average, China, CHN
5.92, 1915, Nov Average, China, CHN
-0.71, 1915, Dec Average, China, CHN
-2.67, 1916, Jan Average, China, CHN
1.21, 1916, Feb Average, China, CHN
6.72, 1916, Mar Average, China, CHN
13.72, 1916, Apr Average, China, CHN
19.51, 1916, May Average, China, CHN
23.46, 1916, Jun Average, China, CHN
25.15, 1916, Jul Average, China, CHN
24.66, 1916, Aug Average, China, CHN
20.11, 1916, Sep Average, China, CHN
13.64, 1916, Oct Average, China, CHN
5.39, 1916, Nov Average, China, CHN
-1.32, 1916, Dec Average, China, CHN
-2.23, 1917, Jan Average, China, CHN
1.27, 1917, Feb Average, China, CHN
7.28, 1917, Mar Average, China, CHN
13.84, 1917, Apr Average, China, CHN
19.29, 1917, May Average, China, CHN
22.73, 1917, Jun Average, China, CHN
24.89, 1917, Jul Average, China, CHN
24.18, 1917, Aug Average, China, CHN
19.87, 1917, Sep Average, China, CHN
14.11, 1917, Oct Average, China, CHN
5.13, 1917, Nov Average, China, CHN
-1.18, 1917, Dec Average, China, CHN
-3.04, 1918, Jan Average, China, CHN
1.27, 1918, Feb Average, China, CHN
7.49, 1918, Mar Average, China, CHN
14.26, 1918, Apr Average, China, CHN
19.82, 1918, May Average, China, CHN
23.35, 1918, Jun Average, China, CHN
25.22, 1918, Jul Average, China, CHN
25.10, 1918, Aug Average, China, CHN
20.01, 1918, Sep Average, China, CHN
13.88, 1918, Oct Average, China, CHN
6.06, 1918, Nov Average, China, CHN
-0.24, 1918, Dec Average, China, CHN
-0.84, 1919, Jan Average, China, CHN
-0.93, 1919, Feb Average, China, CHN
6.75, 1919, Mar Average, China, CHN
14.08, 1919, Apr Average, China, CHN
19.66, 1919, May Average, China, CHN
22.99, 1919, Jun Average, China, CHN
25.56, 1919, Jul Average, China, CHN
24.36, 1919, Aug Average, China, CHN
19.96, 1919, Sep Average, China, CHN
14.49, 1919, Oct Average, China, CHN
6.24, 1919, Nov Average, China, CHN
-0.20, 1919, Dec Average, China, CHN
-1.35, 1920, Jan Average, China, CHN
1.36, 1920, Feb Average, China, CHN
6.97, 1920, Mar Average, China, CHN
14.29, 1920, Apr Average, China, CHN
19.60, 1920, May Average, China, CHN
23.02, 1920, Jun Average, China, CHN
25.33, 1920, Jul Average, China, CHN
24.42, 1920, Aug Average, China, CHN
19.97, 1920, Sep Average, China, CHN
13.65, 1920, Oct Average, China, CHN
