Rainfall - (MM), Year, Statistics, Country, ISO3
87.6, 1914, May Average, France, FRA
72.2, 1914, Jun Average, France, FRA
96.2, 1914, Jul Average, France, FRA
75.0, 1914, Aug Average, France, FRA
61.0, 1914, Sep Average, France, FRA
79.7, 1914, Oct Average, France, FRA
70.5, 1914, Nov Average, France, FRA
111.9, 1914, Dec Average, France, FRA
95.0, 1915, Jan Average, France, FRA
93.0, 1915, Feb Average, France, FRA
43.4, 1915, Mar Average, France, FRA
68.9, 1915, Apr Average, France, FRA
96.6, 1915, May Average, France, FRA
74.5, 1915, Jun Average, France, FRA
67.4, 1915, Jul Average, France, FRA
45.9, 1915, Aug Average, France, FRA
73.8, 1915, Sep Average, France, FRA
52.1, 1915, Oct Average, France, FRA
78.6, 1915, Nov Average, France, FRA
109.3, 1915, Dec Average, France, FRA
26.5, 1916, Jan Average, France, FRA
109.3, 1916, Feb Average, France, FRA
80.4, 1916, Mar Average, France, FRA
69.9, 1916, Apr Average, France, FRA
61.3, 1916, May Average, France, FRA
60.9, 1916, Jun Average, France, FRA
65.7, 1916, Jul Average, France, FRA
64.5, 1916, Aug Average, France, FRA
82.9, 1916, Sep Average, France, FRA
88.4, 1916, Oct Average, France, FRA
96.8, 1916, Nov Average, France, FRA
118.1, 1916, Dec Average, France, FRA
58.2, 1917, Jan Average, France, FRA
31.5, 1917, Feb Average, France, FRA
83.1, 1917, Mar Average, France, FRA
58.8, 1917, Apr Average, France, FRA
100.9, 1917, May Average, France, FRA
88.3, 1917, Jun Average, France, FRA
68.6, 1917, Jul Average, France, FRA
87.1, 1917, Aug Average, France, FRA
41.2, 1917, Sep Average, France, FRA
116.0, 1917, Oct Average, France, FRA
46.0, 1917, Nov Average, France, FRA
60.0, 1917, Dec Average, France, FRA
53.1, 1918, Jan Average, France, FRA
20.7, 1918, Feb Average, France, FRA
54.8, 1918, Mar Average, France, FRA
98.3, 1918, Apr Average, France, FRA
68.4, 1918, May Average, France, FRA
52.8, 1918, Jun Average, France, FRA
45.5, 1918, Jul Average, France, FRA
35.7, 1918, Aug Average, France, FRA
104.5, 1918, Sep Average, France, FRA
74.1, 1918, Oct Average, France, FRA
75.0, 1918, Nov Average, France, FRA
90.2, 1918, Dec Average, France, FRA
93.1, 1919, Jan Average, France, FRA
92.2, 1919, Feb Average, France, FRA
101.7, 1919, Mar Average, France, FRA
67.5, 1919, Apr Average, France, FRA
38.3, 1919, May Average, France, FRA
33.9, 1919, Jun Average, France, FRA
63.8, 1919, Jul Average, France, FRA
27.5, 1919, Aug Average, France, FRA
63.1, 1919, Sep Average, France, FRA
71.4, 1919, Oct Average, France, FRA
116.6, 1919, Nov Average, France, FRA
92.3, 1919, Dec Average, France, FRA
79.3, 1920, Jan Average, France, FRA
19.0, 1920, Feb Average, France, FRA
84.5, 1920, Mar Average, France, FRA
81.2, 1920, Apr Average, France, FRA
53.0, 1920, May Average, France, FRA
62.8, 1920, Jun Average, France, FRA
74.6, 1920, Jul Average, France, FRA
42.6, 1920, Aug Average, France, FRA
86.6, 1920, Sep Average, France, FRA
84.8, 1920, Oct Average, France, FRA
50.5, 1920, Nov Average, France, FRA
53.3, 1920, Dec Average, France, FRA
44.2, 1921, Jan Average, France, FRA
24.8, 1921, Feb Average, France, FRA
30.0, 1921, Mar Average, France, FRA
40.0, 1921, Apr Average, France, FRA
82.5, 1921, May Average, France, FRA
37.1, 1921, Jun Average, France, FRA
26.1, 1921, Jul Average, France, FRA
82.5, 1921, Aug Average, France, FRA
44.3, 1921, Sep Average, France, FRA
21.1, 1921, Oct Average, France, FRA
36.7, 1921, Nov Average, France, FRA
45.3, 1921, Dec Average, France, FRA
93.0, 1922, Jan Average, France, FRA
58.5, 1922, Feb Average, France, FRA
