tasmin, Year, Statistics, Country, ISO3
-2.6, 1910, Dec Average, Turkey, TUR
-7.7, 1911, Jan Average, Turkey, TUR
-8.0, 1911, Feb Average, Turkey, TUR
-2.3, 1911, Mar Average, Turkey, TUR
2.9, 1911, Apr Average, Turkey, TUR
8.2, 1911, May Average, Turkey, TUR
10.4, 1911, Jun Average, Turkey, TUR
14.1, 1911, Jul Average, Turkey, TUR
14.3, 1911, Aug Average, Turkey, TUR
9.2, 1911, Sep Average, Turkey, TUR
5.2, 1911, Oct Average, Turkey, TUR
2.4, 1911, Nov Average, Turkey, TUR
-2.5, 1911, Dec Average, Turkey, TUR
-5.5, 1912, Jan Average, Turkey, TUR
-2.4, 1912, Feb Average, Turkey, TUR
0.5, 1912, Mar Average, Turkey, TUR
1.8, 1912, Apr Average, Turkey, TUR
6.2, 1912, May Average, Turkey, TUR
11.4, 1912, Jun Average, Turkey, TUR
12.4, 1912, Jul Average, Turkey, TUR
13.1, 1912, Aug Average, Turkey, TUR
10.6, 1912, Sep Average, Turkey, TUR
5.3, 1912, Oct Average, Turkey, TUR
1.6, 1912, Nov Average, Turkey, TUR
-2.4, 1912, Dec Average, Turkey, TUR
-5.4, 1913, Jan Average, Turkey, TUR
-6.6, 1913, Feb Average, Turkey, TUR
-1.3, 1913, Mar Average, Turkey, TUR
3.4, 1913, Apr Average, Turkey, TUR
6.7, 1913, May Average, Turkey, TUR
10.2, 1913, Jun Average, Turkey, TUR
13.7, 1913, Jul Average, Turkey, TUR
14.3, 1913, Aug Average, Turkey, TUR
10.8, 1913, Sep Average, Turkey, TUR
5.5, 1913, Oct Average, Turkey, TUR
1.8, 1913, Nov Average, Turkey, TUR
-1.9, 1913, Dec Average, Turkey, TUR
-4.2, 1914, Jan Average, Turkey, TUR
-2.0, 1914, Feb Average, Turkey, TUR
2.1, 1914, Mar Average, Turkey, TUR
3.4, 1914, Apr Average, Turkey, TUR
7.6, 1914, May Average, Turkey, TUR
11.1, 1914, Jun Average, Turkey, TUR
14.6, 1914, Jul Average, Turkey, TUR
13.8, 1914, Aug Average, Turkey, TUR
9.5, 1914, Sep Average, Turkey, TUR
5.8, 1914, Oct Average, Turkey, TUR
-0.8, 1914, Nov Average, Turkey, TUR
-2.3, 1914, Dec Average, Turkey, TUR
-0.4, 1915, Jan Average, Turkey, TUR
-2.4, 1915, Feb Average, Turkey, TUR
0.3, 1915, Mar Average, Turkey, TUR
4.0, 1915, Apr Average, Turkey, TUR
6.6, 1915, May Average, Turkey, TUR
11.2, 1915, Jun Average, Turkey, TUR
14.6, 1915, Jul Average, Turkey, TUR
13.5, 1915, Aug Average, Turkey, TUR
9.8, 1915, Sep Average, Turkey, TUR
6.8, 1915, Oct Average, Turkey, TUR
2.1, 1915, Nov Average, Turkey, TUR
0.1, 1915, Dec Average, Turkey, TUR
-4.0, 1916, Jan Average, Turkey, TUR
-2.5, 1916, Feb Average, Turkey, TUR
1.5, 1916, Mar Average, Turkey, TUR
4.4, 1916, Apr Average, Turkey, TUR
8.6, 1916, May Average, Turkey, TUR
12.0, 1916, Jun Average, Turkey, TUR
14.8, 1916, Jul Average, Turkey, TUR
13.8, 1916, Aug Average, Turkey, TUR
9.6, 1916, Sep Average, Turkey, TUR
6.6, 1916, Oct Average, Turkey, TUR
2.9, 1916, Nov Average, Turkey, TUR
-0.4, 1916, Dec Average, Turkey, TUR
-2.9, 1917, Jan Average, Turkey, TUR
-5.3, 1917, Feb Average, Turkey, TUR
0.0, 1917, Mar Average, Turkey, TUR
5.3, 1917, Apr Average, Turkey, TUR
6.6, 1917, May Average, Turkey, TUR
10.8, 1917, Jun Average, Turkey, TUR
14.3, 1917, Jul Average, Turkey, TUR
14.6, 1917, Aug Average, Turkey, TUR
10.9, 1917, Sep Average, Turkey, TUR
7.2, 1917, Oct Average, Turkey, TUR
3.8, 1917, Nov Average, Turkey, TUR
-3.1, 1917, Dec Average, Turkey, TUR
-3.6, 1918, Jan Average, Turkey, TUR
-3.6, 1918, Feb Average, Turkey, TUR
-0.8, 1918, Mar Average, Turkey, TUR
3.5, 1918, Apr Average, Turkey, TUR
7.2, 1918, May Average, Turkey, TUR
10.4, 1918, Jun Average, Turkey, TUR
13.8, 1918, Jul Average, Turkey, TUR
13.7, 1918, Aug Average, Turkey, TUR
12.3, 1918, Sep Average, Turkey, TUR
10.0, 1918, Oct Average, Turkey, TUR
2.2, 1918, Nov Average, Turkey, TUR
-1.3, 1918, Dec Average, Turkey, TUR
-2.1, 1919, Jan Average, Turkey, TUR
-2.4, 1919, Feb Average, Turkey, TUR
0.5, 1919, Mar Average, Turkey, TUR
5.3, 1919, Apr Average, Turkey, TUR
5.9, 1919, May Average, Turkey, TUR
9.9, 1919, Jun Average, Turkey, TUR
13.8, 1919, Jul Average, Turkey, TUR
13.0, 1919, Aug Average, Turkey, TUR
11.7, 1919, Sep Average, Turkey, TUR
9.1, 1919, Oct Average, Turkey, TUR
2.9, 1919, Nov Average, Turkey, TUR
-1.8, 1919, Dec Average, Turkey, TUR
-3.6, 1920, Jan Average, Turkey, TUR
-7.2, 1920, Feb Average, Turkey, TUR
0.2, 1920, Mar Average, Turkey, TUR
5.2, 1920, Apr Average, Turkey, TUR
8.5, 1920, May Average, Turkey, TUR
11.8, 1920, Jun Average, Turkey, TUR
14.8, 1920, Jul Average, Turkey, TUR
15.3, 1920, Aug Average, Turkey, TUR
10.5, 1920, Sep Average, Turkey, TUR
3.9, 1920, Oct Average, Turkey, TUR
-1.2, 1920, Nov Average, Turkey, TUR
-4.9, 1920, Dec Average, Turkey, TUR
-3.6, 1921, Jan Average, Turkey, TUR
-6.5, 1921, Feb Average, Turkey, TUR
-1.5, 1921, Mar Average, Turkey, TUR
3.8, 1921, Apr Average, Turkey, TUR
9.2, 1921, May Average, Turkey, TUR
10.9, 1921, Jun Average, Turkey, TUR
14.6, 1921, Jul Average, Turkey, TUR
14.9, 1921, Aug Average, Turkey, TUR
9.1, 1921, Sep Average, Turkey, TUR
4.8, 1921, Oct Average, Turkey, TUR
0.8, 1921, Nov Average, Turkey, TUR
-3.6, 1921, Dec Average, Turkey, TUR
-4.5, 1922, Jan Average, Turkey, TUR
-3.5, 1922, Feb Average, Turkey, TUR
1.1, 1922, Mar Average, Turkey, TUR
4.3, 1922, Apr Average, Turkey, TUR
8.3, 1922, May Average, Turkey, TUR
11.4, 1922, Jun Average, Turkey, TUR
15.5, 1922, Jul Average, Turkey, TUR
14.3, 1922, Aug Average, Turkey, TUR
10.4, 1922, Sep Average, Turkey, TUR
6.9, 1922, Oct Average, Turkey, TUR
1.9, 1922, Nov Average, Turkey, TUR
-2.1, 1922, Dec Average, Turkey, TUR
-3.3, 1923, Jan Average, Turkey, TUR
-3.3, 1923, Feb Average, Turkey, TUR
0.3, 1923, Mar Average, Turkey, TUR
3.1, 1923, Apr Average, Turkey, TUR
9.1, 1923, May Average, Turkey, TUR
12.2, 1923, Jun Average, Turkey, TUR
14.8, 1923, Jul Average, Turkey, TUR
13.1, 1923, Aug Average, Turkey, TUR
11.8, 1923, Sep Average, Turkey, TUR
7.6, 1923, Oct Average, Turkey, TUR
4.5, 1923, Nov Average, Turkey, TUR
-0.2, 1923, Dec Average, Turkey, TUR
-5.2, 1924, Jan Average, Turkey, TUR
-4.1, 1924, Feb Average, Turkey, TUR
-0.2, 1924, Mar Average, Turkey, TUR
3.8, 1924, Apr Average, Turkey, TUR
8.7, 1924, May Average, Turkey, TUR
13.4, 1924, Jun Average, Turkey, TUR
14.3, 1924, Jul Average, Turkey, TUR
14.5, 1924, Aug Average, Turkey, TUR
12.8, 1924, Sep Average, Turkey, TUR
6.0, 1924, Oct Average, Turkey, TUR
0.9, 1924, Nov Average, Turkey, TUR
-4.4, 1924, Dec Average, Turkey, TUR
-6.3, 1925, Jan Average, Turkey, TUR
-2.1, 1925, Feb Average, Turkey, TUR
1.8, 1925, Mar Average, Turkey, TUR
3.6, 1925, Apr Average, Turkey, TUR
8.3, 1925, May Average, Turkey, TUR
10.2, 1925, Jun Average, Turkey, TUR
14.2, 1925, Jul Average, Turkey, TUR
14.4, 1925, Aug Average, Turkey, TUR
11.4, 1925, Sep Average, Turkey, TUR
6.4, 1925, Oct Average, Turkey, TUR
3.1, 1925, Nov Average, Turkey, TUR
-0.8, 1925, Dec Average, Turkey, TUR
-3.2, 1926, Jan Average, Turkey, TUR
-2.8, 1926, Feb Average, Turkey, TUR
-0.2, 1926, Mar Average, Turkey, TUR
4.2, 1926, Apr Average, Turkey, TUR
8.8, 1926, May Average, Turkey, TUR
12.3, 1926, Jun Average, Turkey, TUR
14.7, 1926, Jul Average, Turkey, TUR
13.6, 1926, Aug Average, Turkey, TUR
9.4, 1926, Sep Average, Turkey, TUR
6.4, 1926, Oct Average, Turkey, TUR
3.5, 1926, Nov Average, Turkey, TUR
-0.5, 1926, Dec Average, Turkey, TUR
-4.2, 1927, Jan Average, Turkey, TUR
-6.5, 1927, Feb Average, Turkey, TUR
1.3, 1927, Mar Average, Turkey, TUR
4.3, 1927, Apr Average, Turkey, TUR
8.4, 1927, May Average, Turkey, TUR
12.9, 1927, Jun Average, Turkey, TUR
15.2, 1927, Jul Average, Turkey, TUR
15.2, 1927, Aug Average, Turkey, TUR
12.8, 1927, Sep Average, Turkey, TUR
9.2, 1927, Oct Average, Turkey, TUR
2.2, 1927, Nov Average, Turkey, TUR
-4.2, 1927, Dec Average, Turkey, TUR
-5.7, 1928, Jan Average, Turkey, TUR
-6.7, 1928, Feb Average, Turkey, TUR
-3.8, 1928, Mar Average, Turkey, TUR
4.7, 1928, Apr Average, Turkey, TUR
7.7, 1928, May Average, Turkey, TUR
10.5, 1928, Jun Average, Turkey, TUR
14.7, 1928, Jul Average, Turkey, TUR
13.0, 1928, Aug Average, Turkey, TUR
11.3, 1928, Sep Average, Turkey, TUR
5.5, 1928, Oct Average, Turkey, TUR
3.5, 1928, Nov Average, Turkey, TUR
-1.9, 1928, Dec Average, Turkey, TUR
-5.9, 1929, Jan Average, Turkey, TUR
-7.0, 1929, Feb Average, Turkey, TUR
-4.1, 1929, Mar Average, Turkey, TUR
3.0, 1929, Apr Average, Turkey, TUR
9.9, 1929, May Average, Turkey, TUR
11.5, 1929, Jun Average, Turkey, TUR
14.2, 1929, Jul Average, Turkey, TUR
16.5, 1929, Aug Average, Turkey, TUR
10.2, 1929, Sep Average, Turkey, TUR
7.3, 1929, Oct Average, Turkey, TUR
3.3, 1929, Nov Average, Turkey, TUR
-1.7, 1929, Dec Average, Turkey, TUR
-3.6, 1930, Jan Average, Turkey, TUR
-3.3, 1930, Feb Average, Turkey, TUR
0.6, 1930, Mar Average, Turkey, TUR
5.1, 1930, Apr Average, Turkey, TUR
8.3, 1930, May Average, Turkey, TUR
11.0, 1930, Jun Average, Turkey, TUR
14.8, 1930, Jul Average, Turkey, TUR
15.3, 1930, Aug Average, Turkey, TUR
11.0, 1930, Sep Average, Turkey, TUR
6.5, 1930, Oct Average, Turkey, TUR
3.1, 1930, Nov Average, Turkey, TUR
-0.3, 1930, Dec Average, Turkey, TUR
-3.9, 1931, Jan Average, Turkey, TUR
-2.8, 1931, Feb Average, Turkey, TUR
-0.1, 1931, Mar Average, Turkey, TUR
3.3, 1931, Apr Average, Turkey, TUR
8.1, 1931, May Average, Turkey, TUR
12.1, 1931, Jun Average, Turkey, TUR
15.3, 1931, Jul Average, Turkey, TUR
14.9, 1931, Aug Average, Turkey, TUR
11.0, 1931, Sep Average, Turkey, TUR
5.2, 1931, Oct Average, Turkey, TUR
-0.5, 1931, Nov Average, Turkey, TUR
-4.9, 1931, Dec Average, Turkey, TUR
-6.6, 1932, Jan Average, Turkey, TUR
-6.5, 1932, Feb Average, Turkey, TUR
-1.4, 1932, Mar Average, Turkey, TUR
3.7, 1932, Apr Average, Turkey, TUR
