Temperature - (Celsius), Year, Statistics, Country, ISO3
28.3, 1913, Apr Average, India, IND
29.2, 1913, May Average, India, IND
28.0, 1913, Jun Average, India, IND
26.8, 1913, Jul Average, India, IND
26.4, 1913, Aug Average, India, IND
26.4, 1913, Sep Average, India, IND
24.8, 1913, Oct Average, India, IND
20.3, 1913, Nov Average, India, IND
17.3, 1913, Dec Average, India, IND
17.8, 1914, Jan Average, India, IND
19.3, 1914, Feb Average, India, IND
23.0, 1914, Mar Average, India, IND
26.8, 1914, Apr Average, India, IND
29.9, 1914, May Average, India, IND
29.0, 1914, Jun Average, India, IND
26.8, 1914, Jul Average, India, IND
26.2, 1914, Aug Average, India, IND
26.1, 1914, Sep Average, India, IND
24.1, 1914, Oct Average, India, IND
21.1, 1914, Nov Average, India, IND
17.4, 1914, Dec Average, India, IND
17.2, 1915, Jan Average, India, IND
18.5, 1915, Feb Average, India, IND
23.2, 1915, Mar Average, India, IND
27.4, 1915, Apr Average, India, IND
30.7, 1915, May Average, India, IND
30.1, 1915, Jun Average, India, IND
27.7, 1915, Jul Average, India, IND
26.7, 1915, Aug Average, India, IND
26.5, 1915, Sep Average, India, IND
25.5, 1915, Oct Average, India, IND
21.6, 1915, Nov Average, India, IND
17.4, 1915, Dec Average, India, IND
17.4, 1916, Jan Average, India, IND
18.9, 1916, Feb Average, India, IND
24.8, 1916, Mar Average, India, IND
28.2, 1916, Apr Average, India, IND
30.1, 1916, May Average, India, IND
28.0, 1916, Jun Average, India, IND
27.1, 1916, Jul Average, India, IND
26.2, 1916, Aug Average, India, IND
26.1, 1916, Sep Average, India, IND
24.4, 1916, Oct Average, India, IND
20.0, 1916, Nov Average, India, IND
16.6, 1916, Dec Average, India, IND
17.1, 1917, Jan Average, India, IND
19.0, 1917, Feb Average, India, IND
22.7, 1917, Mar Average, India, IND
26.0, 1917, Apr Average, India, IND
28.4, 1917, May Average, India, IND
28.0, 1917, Jun Average, India, IND
26.6, 1917, Jul Average, India, IND
26.1, 1917, Aug Average, India, IND
25.4, 1917, Sep Average, India, IND
23.9, 1917, Oct Average, India, IND
19.6, 1917, Nov Average, India, IND
17.1, 1917, Dec Average, India, IND
16.1, 1918, Jan Average, India, IND
19.1, 1918, Feb Average, India, IND
23.2, 1918, Mar Average, India, IND
26.4, 1918, Apr Average, India, IND
29.8, 1918, May Average, India, IND
28.0, 1918, Jun Average, India, IND
28.1, 1918, Jul Average, India, IND
26.6, 1918, Aug Average, India, IND
26.5, 1918, Sep Average, India, IND
24.9, 1918, Oct Average, India, IND
21.2, 1918, Nov Average, India, IND
17.1, 1918, Dec Average, India, IND
17.6, 1919, Jan Average, India, IND
18.9, 1919, Feb Average, India, IND
23.8, 1919, Mar Average, India, IND
27.1, 1919, Apr Average, India, IND
29.6, 1919, May Average, India, IND
29.1, 1919, Jun Average, India, IND
26.8, 1919, Jul Average, India, IND
26.3, 1919, Aug Average, India, IND
25.9, 1919, Sep Average, India, IND
24.3, 1919, Oct Average, India, IND
20.9, 1919, Nov Average, India, IND
17.2, 1919, Dec Average, India, IND
17.4, 1920, Jan Average, India, IND
18.8, 1920, Feb Average, India, IND
23.5, 1920, Mar Average, India, IND
27.2, 1920, Apr Average, India, IND
28.5, 1920, May Average, India, IND
29.2, 1920, Jun Average, India, IND
27.0, 1920, Jul Average, India, IND
26.5, 1920, Aug Average, India, IND
26.9, 1920, Sep Average, India, IND
25.5, 1920, Oct Average, India, IND
21.3, 1920, Nov Average, India, IND
17.7, 1920, Dec Average, India, IND
17.8, 1921, Jan Average, India, IND
19.0, 1921, Feb Average, India, IND
25.1, 1921, Mar Average, India, IND
28.7, 1921, Apr Average, India, IND
31.3, 1921, May Average, India, IND
29.3, 1921, Jun Average, India, IND
27.6, 1921, Jul Average, India, IND
26.1, 1921, Aug Average, India, IND
25.7, 1921, Sep Average, India, IND
24.0, 1921, Oct Average, India, IND
20.0, 1921, Nov Average, India, IND
18.0, 1921, Dec Average, India, IND
17.0, 1922, Jan Average, India, IND
