Rainfall - (MM), Year, Statistics, Country, ISO3
22.6, 1913, Apr Average, India, IND
66.0, 1913, May Average, India, IND
214.0, 1913, Jun Average, India, IND
261.1, 1913, Jul Average, India, IND
208.2, 1913, Aug Average, India, IND
116.7, 1913, Sep Average, India, IND
70.0, 1913, Oct Average, India, IND
13.4, 1913, Nov Average, India, IND
19.8, 1913, Dec Average, India, IND
3.1, 1914, Jan Average, India, IND
15.8, 1914, Feb Average, India, IND
12.2, 1914, Mar Average, India, IND
42.4, 1914, Apr Average, India, IND
55.3, 1914, May Average, India, IND
174.1, 1914, Jun Average, India, IND
310.5, 1914, Jul Average, India, IND
227.0, 1914, Aug Average, India, IND
195.0, 1914, Sep Average, India, IND
40.1, 1914, Oct Average, India, IND
22.3, 1914, Nov Average, India, IND
14.3, 1914, Dec Average, India, IND
16.5, 1915, Jan Average, India, IND
26.9, 1915, Feb Average, India, IND
37.8, 1915, Mar Average, India, IND
32.2, 1915, Apr Average, India, IND
57.1, 1915, May Average, India, IND
170.2, 1915, Jun Average, India, IND
244.5, 1915, Jul Average, India, IND
224.0, 1915, Aug Average, India, IND
176.7, 1915, Sep Average, India, IND
78.0, 1915, Oct Average, India, IND
40.0, 1915, Nov Average, India, IND
7.5, 1915, Dec Average, India, IND
1.9, 1916, Jan Average, India, IND
12.8, 1916, Feb Average, India, IND
5.4, 1916, Mar Average, India, IND
36.7, 1916, Apr Average, India, IND
50.0, 1916, May Average, India, IND
187.8, 1916, Jun Average, India, IND
264.3, 1916, Jul Average, India, IND
292.0, 1916, Aug Average, India, IND
195.8, 1916, Sep Average, India, IND
126.8, 1916, Oct Average, India, IND
42.3, 1916, Nov Average, India, IND
3.2, 1916, Dec Average, India, IND
4.7, 1917, Jan Average, India, IND
27.7, 1917, Feb Average, India, IND
15.5, 1917, Mar Average, India, IND
32.7, 1917, Apr Average, India, IND
72.1, 1917, May Average, India, IND
199.0, 1917, Jun Average, India, IND
252.2, 1917, Jul Average, India, IND
271.6, 1917, Aug Average, India, IND
260.1, 1917, Sep Average, India, IND
116.2, 1917, Oct Average, India, IND
29.9, 1917, Nov Average, India, IND
6.4, 1917, Dec Average, India, IND
8.1, 1918, Jan Average, India, IND
3.9, 1918, Feb Average, India, IND
16.1, 1918, Mar Average, India, IND
27.3, 1918, Apr Average, India, IND
62.1, 1918, May Average, India, IND
166.4, 1918, Jun Average, India, IND
144.9, 1918, Jul Average, India, IND
