Rainfall - (MM), Year, Statistics, Country, ISO3
55.3, 1912, Aug Average, Brazil, BRA
82.9, 1912, Sep Average, Brazil, BRA
125.4, 1912, Oct Average, Brazil, BRA
153.8, 1912, Nov Average, Brazil, BRA
190.9, 1912, Dec Average, Brazil, BRA
223.2, 1913, Jan Average, Brazil, BRA
224.8, 1913, Feb Average, Brazil, BRA
230.9, 1913, Mar Average, Brazil, BRA
183.4, 1913, Apr Average, Brazil, BRA
133.9, 1913, May Average, Brazil, BRA
78.6, 1913, Jun Average, Brazil, BRA
62.2, 1913, Jul Average, Brazil, BRA
59.8, 1913, Aug Average, Brazil, BRA
81.7, 1913, Sep Average, Brazil, BRA
117.9, 1913, Oct Average, Brazil, BRA
161.6, 1913, Nov Average, Brazil, BRA
190.9, 1913, Dec Average, Brazil, BRA
257.9, 1914, Jan Average, Brazil, BRA
197.2, 1914, Feb Average, Brazil, BRA
208.2, 1914, Mar Average, Brazil, BRA
167.9, 1914, Apr Average, Brazil, BRA
114.0, 1914, May Average, Brazil, BRA
86.1, 1914, Jun Average, Brazil, BRA
67.1, 1914, Jul Average, Brazil, BRA
63.5, 1914, Aug Average, Brazil, BRA
69.0, 1914, Sep Average, Brazil, BRA
126.2, 1914, Oct Average, Brazil, BRA
142.1, 1914, Nov Average, Brazil, BRA
192.5, 1914, Dec Average, Brazil, BRA
197.3, 1915, Jan Average, Brazil, BRA
169.3, 1915, Feb Average, Brazil, BRA
212.7, 1915, Mar Average, Brazil, BRA
159.7, 1915, Apr Average, Brazil, BRA
117.5, 1915, May Average, Brazil, BRA
79.5, 1915, Jun Average, Brazil, BRA
60.0, 1915, Jul Average, Brazil, BRA
56.8, 1915, Aug Average, Brazil, BRA
66.6, 1915, Sep Average, Brazil, BRA
116.3, 1915, Oct Average, Brazil, BRA
142.5, 1915, Nov Average, Brazil, BRA
210.0, 1915, Dec Average, Brazil, BRA
202.9, 1916, Jan Average, Brazil, BRA
222.3, 1916, Feb Average, Brazil, BRA
248.3, 1916, Mar Average, Brazil, BRA
187.3, 1916, Apr Average, Brazil, BRA
128.9, 1916, May Average, Brazil, BRA
81.3, 1916, Jun Average, Brazil, BRA
55.3, 1916, Jul Average, Brazil, BRA
50.1, 1916, Aug Average, Brazil, BRA
63.9, 1916, Sep Average, Brazil, BRA
123.4, 1916, Oct Average, Brazil, BRA
174.3, 1916, Nov Average, Brazil, BRA
221.2, 1916, Dec Average, Brazil, BRA
245.2, 1917, Jan Average, Brazil, BRA
234.9, 1917, Feb Average, Brazil, BRA
239.7, 1917, Mar Average, Brazil, BRA
178.0, 1917, Apr Average, Brazil, BRA
137.0, 1917, May Average, Brazil, BRA
81.6, 1917, Jun Average, Brazil, BRA
59.9, 1917, Jul Average, Brazil, BRA
52.5, 1917, Aug Average, Brazil, BRA
70.4, 1917, Sep Average, Brazil, BRA
115.9, 1917, Oct Average, Brazil, BRA
158.8, 1917, Nov Average, Brazil, BRA
207.6, 1917, Dec Average, Brazil, BRA
226.0, 1918, Jan Average, Brazil, BRA
195.5, 1918, Feb Average, Brazil, BRA
227.7, 1918, Mar Average, Brazil, BRA
185.7, 1918, Apr Average, Brazil, BRA
139.4, 1918, May Average, Brazil, BRA
76.8, 1918, Jun Average, Brazil, BRA
69.2, 1918, Jul Average, Brazil, BRA
57.1, 1918, Aug Average, Brazil, BRA
74.9, 1918, Sep Average, Brazil, BRA
138.4, 1918, Oct Average, Brazil, BRA
162.5, 1918, Nov Average, Brazil, BRA
200.5, 1918, Dec Average, Brazil, BRA
230.8, 1919, Jan Average, Brazil, BRA
230.1, 1919, Feb Average, Brazil, BRA
220.7, 1919, Mar Average, Brazil, BRA
153.2, 1919, Apr Average, Brazil, BRA
118.6, 1919, May Average, Brazil, BRA
85.5, 1919, Jun Average, Brazil, BRA
60.4, 1919, Jul Average, Brazil, BRA
64.5, 1919, Aug Average, Brazil, BRA
78.6, 1919, Sep Average, Brazil, BRA
123.5, 1919, Oct Average, Brazil, BRA
147.7, 1919, Nov Average, Brazil, BRA
180.8, 1919, Dec Average, Brazil, BRA
211.3, 1920, Jan Average, Brazil, BRA
200.1, 1920, Feb Average, Brazil, BRA
246.2, 1920, Mar Average, Brazil, BRA
190.7, 1920, Apr Average, Brazil, BRA
132.5, 1920, May Average, Brazil, BRA
83.6, 1920, Jun Average, Brazil, BRA
72.1, 1920, Jul Average, Brazil, BRA
60.3, 1920, Aug Average, Brazil, BRA
87.5, 1920, Sep Average, Brazil, BRA
120.9, 1920, Oct Average, Brazil, BRA
148.9, 1920, Nov Average, Brazil, BRA
200.1, 1920, Dec Average, Brazil, BRA
217.2, 1921, Jan Average, Brazil, BRA
221.5, 1921, Feb Average, Brazil, BRA
224.8, 1921, Mar Average, Brazil, BRA
182.9, 1921, Apr Average, Brazil, BRA
133.9, 1921, May Average, Brazil, BRA
88.0, 1921, Jun Average, Brazil, BRA
69.2, 1921, Jul Average, Brazil, BRA
51.7, 1921, Aug Average, Brazil, BRA
79.0, 1921, Sep Average, Brazil, BRA
145.2, 1921, Oct Average, Brazil, BRA
184.9, 1921, Nov Average, Brazil, BRA
197.0, 1921, Dec Average, Brazil, BRA
223.9, 1922, Jan Average, Brazil, BRA
225.0, 1922, Feb Average, Brazil, BRA
231.6, 1922, Mar Average, Brazil, BRA
184.9, 1922, Apr Average, Brazil, BRA
133.0, 1922, May Average, Brazil, BRA
86.1, 1922, Jun Average, Brazil, BRA
63.1, 1922, Jul Average, Brazil, BRA
63.3, 1922, Aug Average, Brazil, BRA
71.1, 1922, Sep Average, Brazil, BRA
126.7, 1922, Oct Average, Brazil, BRA
173.0, 1922, Nov Average, Brazil, BRA
190.2, 1922, Dec Average, Brazil, BRA
221.0, 1923, Jan Average, Brazil, BRA
240.8, 1923, Feb Average, Brazil, BRA
225.3, 1923, Mar Average, Brazil, BRA
179.4, 1923, Apr Average, Brazil, BRA
134.3, 1923, May Average, Brazil, BRA
84.4, 1923, Jun Average, Brazil, BRA
58.3, 1923, Jul Average, Brazil, BRA
56.3, 1923, Aug Average, Brazil, BRA
85.2, 1923, Sep Average, Brazil, BRA
124.5, 1923, Oct Average, Brazil, BRA
143.2, 1923, Nov Average, Brazil, BRA
170.2, 1923, Dec Average, Brazil, BRA
252.9, 1924, Jan Average, Brazil, BRA
240.0, 1924, Feb Average, Brazil, BRA
285.0, 1924, Mar Average, Brazil, BRA
196.7, 1924, Apr Average, Brazil, BRA
151.9, 1924, May Average, Brazil, BRA
93.8, 1924, Jun Average, Brazil, BRA
57.2, 1924, Jul Average, Brazil, BRA
43.7, 1924, Aug Average, Brazil, BRA
67.8, 1924, Sep Average, Brazil, BRA
131.3, 1924, Oct Average, Brazil, BRA
158.1, 1924, Nov Average, Brazil, BRA
232.6, 1924, Dec Average, Brazil, BRA
223.9, 1925, Jan Average, Brazil, BRA
194.8, 1925, Feb Average, Brazil, BRA
224.7, 1925, Mar Average, Brazil, BRA
173.5, 1925, Apr Average, Brazil, BRA
123.9, 1925, May Average, Brazil, BRA
76.9, 1925, Jun Average, Brazil, BRA
66.5, 1925, Jul Average, Brazil, BRA
49.3, 1925, Aug Average, Brazil, BRA
85.4, 1925, Sep Average, Brazil, BRA
128.7, 1925, Oct Average, Brazil, BRA
143.3, 1925, Nov Average, Brazil, BRA
210.4, 1925, Dec Average, Brazil, BRA
237.7, 1926, Jan Average, Brazil, BRA
241.8, 1926, Feb Average, Brazil, BRA
262.6, 1926, Mar Average, Brazil, BRA
190.8, 1926, Apr Average, Brazil, BRA
130.1, 1926, May Average, Brazil, BRA
71.8, 1926, Jun Average, Brazil, BRA
57.7, 1926, Jul Average, Brazil, BRA
52.2, 1926, Aug Average, Brazil, BRA
70.3, 1926, Sep Average, Brazil, BRA
110.3, 1926, Oct Average, Brazil, BRA
150.3, 1926, Nov Average, Brazil, BRA
200.4, 1926, Dec Average, Brazil, BRA
210.9, 1927, Jan Average, Brazil, BRA
237.9, 1927, Feb Average, Brazil, BRA
227.6, 1927, Mar Average, Brazil, BRA
177.9, 1927, Apr Average, Brazil, BRA
131.4, 1927, May Average, Brazil, BRA
84.4, 1927, Jun Average, Brazil, BRA
58.7, 1927, Jul Average, Brazil, BRA
60.0, 1927, Aug Average, Brazil, BRA
74.7, 1927, Sep Average, Brazil, BRA
122.9, 1927, Oct Average, Brazil, BRA
146.2, 1927, Nov Average, Brazil, BRA
193.6, 1927, Dec Average, Brazil, BRA
252.4, 1928, Jan Average, Brazil, BRA
209.4, 1928, Feb Average, Brazil, BRA
244.2, 1928, Mar Average, Brazil, BRA
182.7, 1928, Apr Average, Brazil, BRA
112.2, 1928, May Average, Brazil, BRA
69.8, 1928, Jun Average, Brazil, BRA
62.5, 1928, Jul Average, Brazil, BRA
49.9, 1928, Aug Average, Brazil, BRA
81.3, 1928, Sep Average, Brazil, BRA
108.8, 1928, Oct Average, Brazil, BRA
162.1, 1928, Nov Average, Brazil, BRA
198.8, 1928, Dec Average, Brazil, BRA
235.4, 1929, Jan Average, Brazil, BRA
228.3, 1929, Feb Average, Brazil, BRA
246.6, 1929, Mar Average, Brazil, BRA
180.4, 1929, Apr Average, Brazil, BRA
144.6, 1929, May Average, Brazil, BRA
81.6, 1929, Jun Average, Brazil, BRA
60.4, 1929, Jul Average, Brazil, BRA
57.6, 1929, Aug Average, Brazil, BRA
76.6, 1929, Sep Average, Brazil, BRA
112.3, 1929, Oct Average, Brazil, BRA
147.6, 1929, Nov Average, Brazil, BRA
229.1, 1929, Dec Average, Brazil, BRA
214.2, 1930, Jan Average, Brazil, BRA
201.3, 1930, Feb Average, Brazil, BRA
238.8, 1930, Mar Average, Brazil, BRA
160.2, 1930, Apr Average, Brazil, BRA
112.2, 1930, May Average, Brazil, BRA
79.6, 1930, Jun Average, Brazil, BRA
52.3, 1930, Jul Average, Brazil, BRA
48.7, 1930, Aug Average, Brazil, BRA
69.9, 1930, Sep Average, Brazil, BRA
124.1, 1930, Oct Average, Brazil, BRA
159.3, 1930, Nov Average, Brazil, BRA
202.9, 1930, Dec Average, Brazil, BRA
196.6, 1931, Jan Average, Brazil, BRA
228.4, 1931, Feb Average, Brazil, BRA
257.4, 1931, Mar Average, Brazil, BRA
176.6, 1931, Apr Average, Brazil, BRA
125.3, 1931, May Average, Brazil, BRA
71.9, 1931, Jun Average, Brazil, BRA
54.8, 1931, Jul Average, Brazil, BRA
52.4, 1931, Aug Average, Brazil, BRA
75.5, 1931, Sep Average, Brazil, BRA
130.2, 1931, Oct Average, Brazil, BRA
156.6, 1931, Nov Average, Brazil, BRA
167.0, 1931, Dec Average, Brazil, BRA
234.7, 1932, Jan Average, Brazil, BRA
201.0, 1932, Feb Average, Brazil, BRA
214.8, 1932, Mar Average, Brazil, BRA
140.6, 1932, Apr Average, Brazil, BRA
113.0, 1932, May Average, Brazil, BRA
76.6, 1932, Jun Average, Brazil, BRA
58.4, 1932, Jul Average, Brazil, BRA
55.5, 1932, Aug Average, Brazil, BRA
76.7, 1932, Sep Average, Brazil, BRA
115.1, 1932, Oct Average, Brazil, BRA
148.2, 1932, Nov Average, Brazil, BRA
174.1, 1932, Dec Average, Brazil, BRA
218.0, 1933, Jan Average, Brazil, BRA
196.2, 1933, Feb Average, Brazil, BRA
234.4, 1933, Mar Average, Brazil, BRA
199.9, 1933, Apr Average, Brazil, BRA
105.6, 1933, May Average, Brazil, BRA
70.7, 1933, Jun Average, Brazil, BRA
62.2, 1933, Jul Average, Brazil, BRA
47.7, 1933, Aug Average, Brazil, BRA
71.8, 1933, Sep Average, Brazil, BRA
128.6, 1933, Oct Average, Brazil, BRA
172.3, 1933, Nov Average, Brazil, BRA
200.6, 1933, Dec Average, Brazil, BRA
216.5, 1934, Jan Average, Brazil, BRA
238.1, 1934, Feb Average, Brazil, BRA
231.3, 1934, Mar Average, Brazil, BRA
195.4, 1934, Apr Average, Brazil, BRA
