tasmax, Year, Statistics, Country, ISO3
30.5, 1912, Aug Average, Brazil, BRA
30.3, 1912, Sep Average, Brazil, BRA
30.8, 1912, Oct Average, Brazil, BRA
31.0, 1912, Nov Average, Brazil, BRA
30.3, 1912, Dec Average, Brazil, BRA
30.0, 1913, Jan Average, Brazil, BRA
30.3, 1913, Feb Average, Brazil, BRA
30.1, 1913, Mar Average, Brazil, BRA
30.0, 1913, Apr Average, Brazil, BRA
29.0, 1913, May Average, Brazil, BRA
28.7, 1913, Jun Average, Brazil, BRA
29.5, 1913, Jul Average, Brazil, BRA
30.1, 1913, Aug Average, Brazil, BRA
30.8, 1913, Sep Average, Brazil, BRA
31.0, 1913, Oct Average, Brazil, BRA
30.9, 1913, Nov Average, Brazil, BRA
30.2, 1913, Dec Average, Brazil, BRA
30.5, 1914, Jan Average, Brazil, BRA
30.3, 1914, Feb Average, Brazil, BRA
30.5, 1914, Mar Average, Brazil, BRA
29.8, 1914, Apr Average, Brazil, BRA
28.9, 1914, May Average, Brazil, BRA
29.6, 1914, Jun Average, Brazil, BRA
29.9, 1914, Jul Average, Brazil, BRA
30.1, 1914, Aug Average, Brazil, BRA
31.1, 1914, Sep Average, Brazil, BRA
31.1, 1914, Oct Average, Brazil, BRA
31.0, 1914, Nov Average, Brazil, BRA
30.4, 1914, Dec Average, Brazil, BRA
30.5, 1915, Jan Average, Brazil, BRA
30.6, 1915, Feb Average, Brazil, BRA
30.3, 1915, Mar Average, Brazil, BRA
30.7, 1915, Apr Average, Brazil, BRA
30.3, 1915, May Average, Brazil, BRA
28.7, 1915, Jun Average, Brazil, BRA
29.6, 1915, Jul Average, Brazil, BRA
30.7, 1915, Aug Average, Brazil, BRA
30.7, 1915, Sep Average, Brazil, BRA
31.2, 1915, Oct Average, Brazil, BRA
30.6, 1915, Nov Average, Brazil, BRA
30.4, 1915, Dec Average, Brazil, BRA
30.3, 1916, Jan Average, Brazil, BRA
30.2, 1916, Feb Average, Brazil, BRA
30.0, 1916, Mar Average, Brazil, BRA
29.7, 1916, Apr Average, Brazil, BRA
29.2, 1916, May Average, Brazil, BRA
28.6, 1916, Jun Average, Brazil, BRA
29.0, 1916, Jul Average, Brazil, BRA
30.5, 1916, Aug Average, Brazil, BRA
31.3, 1916, Sep Average, Brazil, BRA
30.8, 1916, Oct Average, Brazil, BRA
30.6, 1916, Nov Average, Brazil, BRA
30.1, 1916, Dec Average, Brazil, BRA
30.0, 1917, Jan Average, Brazil, BRA
29.9, 1917, Feb Average, Brazil, BRA
29.8, 1917, Mar Average, Brazil, BRA
29.3, 1917, Apr Average, Brazil, BRA
28.3, 1917, May Average, Brazil, BRA
28.1, 1917, Jun Average, Brazil, BRA
28.6, 1917, Jul Average, Brazil, BRA
29.8, 1917, Aug Average, Brazil, BRA
30.6, 1917, Sep Average, Brazil, BRA
30.8, 1917, Oct Average, Brazil, BRA
30.4, 1917, Nov Average, Brazil, BRA
30.3, 1917, Dec Average, Brazil, BRA
30.0, 1918, Jan Average, Brazil, BRA
29.9, 1918, Feb Average, Brazil, BRA
30.0, 1918, Mar Average, Brazil, BRA
29.6, 1918, Apr Average, Brazil, BRA
29.3, 1918, May Average, Brazil, BRA
28.8, 1918, Jun Average, Brazil, BRA
29.0, 1918, Jul Average, Brazil, BRA
30.0, 1918, Aug Average, Brazil, BRA
30.9, 1918, Sep Average, Brazil, BRA
