Temperature - (Celsius), Year, Statistics, Country, ISO3
15.7, 1911, Aug Average, Australia, AUS
18.7, 1911, Sep Average, Australia, AUS
22.2, 1911, Oct Average, Australia, AUS
25.8, 1911, Nov Average, Australia, AUS
26.9, 1911, Dec Average, Australia, AUS
28.2, 1912, Jan Average, Australia, AUS
28.2, 1912, Feb Average, Australia, AUS
25.9, 1912, Mar Average, Australia, AUS
21.4, 1912, Apr Average, Australia, AUS
17.8, 1912, May Average, Australia, AUS
14.6, 1912, Jun Average, Australia, AUS
13.8, 1912, Jul Average, Australia, AUS
15.9, 1912, Aug Average, Australia, AUS
18.9, 1912, Sep Average, Australia, AUS
22.5, 1912, Oct Average, Australia, AUS
24.6, 1912, Nov Average, Australia, AUS
27.1, 1912, Dec Average, Australia, AUS
27.1, 1913, Jan Average, Australia, AUS
26.8, 1913, Feb Average, Australia, AUS
24.3, 1913, Mar Average, Australia, AUS
21.9, 1913, Apr Average, Australia, AUS
15.9, 1913, May Average, Australia, AUS
13.6, 1913, Jun Average, Australia, AUS
14.1, 1913, Jul Average, Australia, AUS
15.3, 1913, Aug Average, Australia, AUS
18.1, 1913, Sep Average, Australia, AUS
22.4, 1913, Oct Average, Australia, AUS
25.1, 1913, Nov Average, Australia, AUS
27.4, 1913, Dec Average, Australia, AUS
27.8, 1914, Jan Average, Australia, AUS
27.8, 1914, Feb Average, Australia, AUS
25.9, 1914, Mar Average, Australia, AUS
22.4, 1914, Apr Average, Australia, AUS
18.0, 1914, May Average, Australia, AUS
14.9, 1914, Jun Average, Australia, AUS
13.3, 1914, Jul Average, Australia, AUS
16.5, 1914, Aug Average, Australia, AUS
19.1, 1914, Sep Average, Australia, AUS
23.0, 1914, Oct Average, Australia, AUS
26.2, 1914, Nov Average, Australia, AUS
27.8, 1914, Dec Average, Australia, AUS
27.3, 1915, Jan Average, Australia, AUS
28.3, 1915, Feb Average, Australia, AUS
25.8, 1915, Mar Average, Australia, AUS
22.4, 1915, Apr Average, Australia, AUS
17.3, 1915, May Average, Australia, AUS
15.8, 1915, Jun Average, Australia, AUS
15.1, 1915, Jul Average, Australia, AUS
15.6, 1915, Aug Average, Australia, AUS
19.7, 1915, Sep Average, Australia, AUS
22.2, 1915, Oct Average, Australia, AUS
25.8, 1915, Nov Average, Australia, AUS
27.0, 1915, Dec Average, Australia, AUS
27.8, 1916, Jan Average, Australia, AUS
27.3, 1916, Feb Average, Australia, AUS
25.6, 1916, Mar Average, Australia, AUS
20.9, 1916, Apr Average, Australia, AUS
18.5, 1916, May Average, Australia, AUS
15.5, 1916, Jun Average, Australia, AUS
13.7, 1916, Jul Average, Australia, AUS
15.9, 1916, Aug Average, Australia, AUS
19.2, 1916, Sep Average, Australia, AUS
21.3, 1916, Oct Average, Australia, AUS
23.3, 1916, Nov Average, Australia, AUS
25.9, 1916, Dec Average, Australia, AUS
26.8, 1917, Jan Average, Australia, AUS
24.9, 1917, Feb Average, Australia, AUS
24.2, 1917, Mar Average, Australia, AUS
20.4, 1917, Apr Average, Australia, AUS
16.0, 1917, May Average, Australia, AUS
14.0, 1917, Jun Average, Australia, AUS
14.7, 1917, Jul Average, Australia, AUS
15.0, 1917, Aug Average, Australia, AUS
18.7, 1917, Sep Average, Australia, AUS
21.7, 1917, Oct Average, Australia, AUS
23.8, 1917, Nov Average, Australia, AUS
26.4, 1917, Dec Average, Australia, AUS
26.8, 1918, Jan Average, Australia, AUS
25.9, 1918, Feb Average, Australia, AUS
23.8, 1918, Mar Average, Australia, AUS
21.3, 1918, Apr Average, Australia, AUS
17.7, 1918, May Average, Australia, AUS
15.2, 1918, Jun Average, Australia, AUS
12.8, 1918, Jul Average, Australia, AUS
15.6, 1918, Aug Average, Australia, AUS
18.8, 1918, Sep Average, Australia, AUS
22.2, 1918, Oct Average, Australia, AUS
25.4, 1918, Nov Average, Australia, AUS
27.2, 1918, Dec Average, Australia, AUS
27.7, 1919, Jan Average, Australia, AUS
27.0, 1919, Feb Average, Australia, AUS
25.2, 1919, Mar Average, Australia, AUS
22.5, 1919, Apr Average, Australia, AUS
17.8, 1919, May Average, Australia, AUS
15.3, 1919, Jun Average, Australia, AUS
13.7, 1919, Jul Average, Australia, AUS
15.4, 1919, Aug Average, Australia, AUS
18.6, 1919, Sep Average, Australia, AUS
22.1, 1919, Oct Average, Australia, AUS
25.6, 1919, Nov Average, Australia, AUS
27.8, 1919, Dec Average, Australia, AUS
27.0, 1920, Jan Average, Australia, AUS
26.8, 1920, Feb Average, Australia, AUS
24.5, 1920, Mar Average, Australia, AUS
20.9, 1920, Apr Average, Australia, AUS
17.3, 1920, May Average, Australia, AUS
15.1, 1920, Jun Average, Australia, AUS
13.9, 1920, Jul Average, Australia, AUS
15.4, 1920, Aug Average, Australia, AUS
18.8, 1920, Sep Average, Australia, AUS
22.3, 1920, Oct Average, Australia, AUS
25.1, 1920, Nov Average, Australia, AUS
26.1, 1920, Dec Average, Australia, AUS
27.1, 1921, Jan Average, Australia, AUS
27.2, 1921, Feb Average, Australia, AUS
24.5, 1921, Mar Average, Australia, AUS
21.3, 1921, Apr Average, Australia, AUS
19.1, 1921, May Average, Australia, AUS
15.9, 1921, Jun Average, Australia, AUS
14.8, 1921, Jul Average, Australia, AUS
14.8, 1921, Aug Average, Australia, AUS
18.9, 1921, Sep Average, Australia, AUS
21.4, 1921, Oct Average, Australia, AUS
25.5, 1921, Nov Average, Australia, AUS
26.6, 1921, Dec Average, Australia, AUS
27.1, 1922, Jan Average, Australia, AUS
27.3, 1922, Feb Average, Australia, AUS
25.0, 1922, Mar Average, Australia, AUS
22.7, 1922, Apr Average, Australia, AUS
17.2, 1922, May Average, Australia, AUS
14.5, 1922, Jun Average, Australia, AUS
12.5, 1922, Jul Average, Australia, AUS
14.8, 1922, Aug Average, Australia, AUS
18.6, 1922, Sep Average, Australia, AUS
22.4, 1922, Oct Average, Australia, AUS
25.6, 1922, Nov Average, Australia, AUS
26.3, 1922, Dec Average, Australia, AUS
27.4, 1923, Jan Average, Australia, AUS
28.3, 1923, Feb Average, Australia, AUS
26.0, 1923, Mar Average, Australia, AUS
22.5, 1923, Apr Average, Australia, AUS
18.5, 1923, May Average, Australia, AUS
14.4, 1923, Jun Average, Australia, AUS
13.2, 1923, Jul Average, Australia, AUS
14.6, 1923, Aug Average, Australia, AUS
