tasmin, Year, Statistics, Country, ISO3
-5.5, 1996, Mar Average, China, CHN
1.0, 1996, Apr Average, China, CHN
7.2, 1996, May Average, China, CHN
11.3, 1996, Jun Average, China, CHN
14.2, 1996, Jul Average, China, CHN
12.9, 1996, Aug Average, China, CHN
8.0, 1996, Sep Average, China, CHN
1.2, 1996, Oct Average, China, CHN
-6.4, 1996, Nov Average, China, CHN
-12.4, 1996, Dec Average, China, CHN
-14.2, 1997, Jan Average, China, CHN
-11.5, 1997, Feb Average, China, CHN
-3.9, 1997, Mar Average, China, CHN
1.9, 1997, Apr Average, China, CHN
7.6, 1997, May Average, China, CHN
11.4, 1997, Jun Average, China, CHN
14.1, 1997, Jul Average, China, CHN
13.2, 1997, Aug Average, China, CHN
7.1, 1997, Sep Average, China, CHN
0.6, 1997, Oct Average, China, CHN
-6.6, 1997, Nov Average, China, CHN
-11.9, 1997, Dec Average, China, CHN
-14.6, 1998, Jan Average, China, CHN
-9.1, 1998, Feb Average, China, CHN
-4.7, 1998, Mar Average, China, CHN
3.3, 1998, Apr Average, China, CHN
7.5, 1998, May Average, China, CHN
12.0, 1998, Jun Average, China, CHN
14.7, 1998, Jul Average, China, CHN
13.6, 1998, Aug Average, China, CHN
9.1, 1998, Sep Average, China, CHN
2.8, 1998, Oct Average, China, CHN
-5.7, 1998, Nov Average, China, CHN
-10.9, 1998, Dec Average, China, CHN
-12.9, 1999, Jan Average, China, CHN
-9.3, 1999, Feb Average, China, CHN
-5.6, 1999, Mar Average, China, CHN
2.4, 1999, Apr Average, China, CHN
7.3, 1999, May Average, China, CHN
12.0, 1999, Jun Average, China, CHN
14.6, 1999, Jul Average, China, CHN
13.1, 1999, Aug Average, China, CHN
9.0, 1999, Sep Average, China, CHN
2.0, 1999, Oct Average, China, CHN
-5.6, 1999, Nov Average, China, CHN
-11.9, 1999, Dec Average, China, CHN
-14.5, 2000, Jan Average, China, CHN
-12.4, 2000, Feb Average, China, CHN
-5.2, 2000, Mar Average, China, CHN
1.9, 2000, Apr Average, China, CHN
7.9, 2000, May Average, China, CHN
12.0, 2000, Jun Average, China, CHN
15.1, 2000, Jul Average, China, CHN
13.4, 2000, Aug Average, China, CHN
8.6, 2000, Sep Average, China, CHN
1.4, 2000, Oct Average, China, CHN
-7.3, 2000, Nov Average, China, CHN
-11.7, 2000, Dec Average, China, CHN
-14.2, 2001, Jan Average, China, CHN
-11.0, 2001, Feb Average, China, CHN
-5.1, 2001, Mar Average, China, CHN
1.6, 2001, Apr Average, China, CHN
7.5, 2001, May Average, China, CHN
12.1, 2001, Jun Average, China, CHN
14.8, 2001, Jul Average, China, CHN
13.4, 2001, Aug Average, China, CHN
8.9, 2001, Sep Average, China, CHN
2.4, 2001, Oct Average, China, CHN
-5.4, 2001, Nov Average, China, CHN
-12.6, 2001, Dec Average, China, CHN
-12.4, 2002, Jan Average, China, CHN
-8.9, 2002, Feb Average, China, CHN
-3.5, 2002, Mar Average, China, CHN
2.4, 2002, Apr Average, China, CHN
7.3, 2002, May Average, China, CHN
12.3, 2002, Jun Average, China, CHN
14.8, 2002, Jul Average, China, CHN
13.3, 2002, Aug Average, China, CHN
8.1, 2002, Sep Average, China, CHN
1.0, 2002, Oct Average, China, CHN
-6.5, 2002, Nov Average, China, CHN
-12.1, 2002, Dec Average, China, CHN
-13.9, 2003, Jan Average, China, CHN
-9.9, 2003, Feb Average, China, CHN
-4.8, 2003, Mar Average, China, CHN
2.1, 2003, Apr Average, China, CHN
7.2, 2003, May Average, China, CHN
11.8, 2003, Jun Average, China, CHN
14.0, 2003, Jul Average, China, CHN
13.3, 2003, Aug Average, China, CHN
9.0, 2003, Sep Average, China, CHN
1.8, 2003, Oct Average, China, CHN
-5.8, 2003, Nov Average, China, CHN
-11.7, 2003, Dec Average, China, CHN
-13.3, 2004, Jan Average, China, CHN
-10.0, 2004, Feb Average, China, CHN
-4.1, 2004, Mar Average, China, CHN
2.8, 2004, Apr Average, China, CHN
7.3, 2004, May Average, China, CHN
11.9, 2004, Jun Average, China, CHN
14.2, 2004, Jul Average, China, CHN
13.0, 2004, Aug Average, China, CHN
8.6, 2004, Sep Average, China, CHN
1.2, 2004, Oct Average, China, CHN
-5.4, 2004, Nov Average, China, CHN
-11.2, 2004, Dec Average, China, CHN
-13.7, 2005, Jan Average, China, CHN
-12.4, 2005, Feb Average, China, CHN
-5.0, 2005, Mar Average, China, CHN
2.4, 2005, Apr Average, China, CHN
7.4, 2005, May Average, China, CHN
12.6, 2005, Jun Average, China, CHN
15.0, 2005, Jul Average, China, CHN
13.4, 2005, Aug Average, China, CHN
9.5, 2005, Sep Average, China, CHN
2.0, 2005, Oct Average, China, CHN
-5.0, 2005, Nov Average, China, CHN
-13.2, 2005, Dec Average, China, CHN
-13.2, 2006, Jan Average, China, CHN
-9.7, 2006, Feb Average, China, CHN
-4.8, 2006, Mar Average, China, CHN
1.8, 2006, Apr Average, China, CHN
7.5, 2006, May Average, China, CHN
12.1, 2006, Jun Average, China, CHN
14.8, 2006, Jul Average, China, CHN
14.0, 2006, Aug Average, China, CHN
8.5, 2006, Sep Average, China, CHN
3.0, 2006, Oct Average, China, CHN
-4.7, 2006, Nov Average, China, CHN
-11.5, 2006, Dec Average, China, CHN
-13.2, 2007, Jan Average, China, CHN
-8.5, 2007, Feb Average, China, CHN
-4.1, 2007, Mar Average, China, CHN
2.4, 2007, Apr Average, China, CHN
8.1, 2007, May Average, China, CHN
12.2, 2007, Jun Average, China, CHN
14.4, 2007, Jul Average, China, CHN
14.0, 2007, Aug Average, China, CHN
8.9, 2007, Sep Average, China, CHN
2.0, 2007, Oct Average, China, CHN
-5.9, 2007, Nov Average, China, CHN
-10.5, 2007, Dec Average, China, CHN
-14.6, 2008, Jan Average, China, CHN
-13.1, 2008, Feb Average, China, CHN
-3.0, 2008, Mar Average, China, CHN
2.5, 2008, Apr Average, China, CHN
7.9, 2008, May Average, China, CHN
12.1, 2008, Jun Average, China, CHN
14.6, 2008, Jul Average, China, CHN
13.1, 2008, Aug Average, China, CHN
8.9, 2008, Sep Average, China, CHN
2.5, 2008, Oct Average, China, CHN
-5.5, 2008, Nov Average, China, CHN
-11.2, 2008, Dec Average, China, CHN
-13.5, 2009, Jan Average, China, CHN
-9.0, 2009, Feb Average, China, CHN
-4.5, 2009, Mar Average, China, CHN
3.1, 2009, Apr Average, China, CHN
7.5, 2009, May Average, China, CHN
12.0, 2009, Jun Average, China, CHN
14.5, 2009, Jul Average, China, CHN
13.2, 2009, Aug Average, China, CHN
9.1, 2009, Sep Average, China, CHN
2.5, 2009, Oct Average, China, CHN
-7.3, 2009, Nov Average, China, CHN
-12.1, 2009, Dec Average, China, CHN
-13.4, 2010, Jan Average, China, CHN
-10.9, 2010, Feb Average, China, CHN
-5.5, 2010, Mar Average, China, CHN
0.6, 2010, Apr Average, China, CHN
7.7, 2010, May Average, China, CHN
12.3, 2010, Jun Average, China, CHN
15.3, 2010, Jul Average, China, CHN
13.9, 2010, Aug Average, China, CHN
9.2, 2010, Sep Average, China, CHN
2.0, 2010, Oct Average, China, CHN
-5.2, 2010, Nov Average, China, CHN
-12.4, 2010, Dec Average, China, CHN
-16.1, 2011, Jan Average, China, CHN
-10.1, 2011, Feb Average, China, CHN
-6.2, 2011, Mar Average, China, CHN
2.3, 2011, Apr Average, China, CHN
7.3, 2011, May Average, China, CHN
12.4, 2011, Jun Average, China, CHN
14.6, 2011, Jul Average, China, CHN
13.6, 2011, Aug Average, China, CHN
8.4, 2011, Sep Average, China, CHN
2.3, 2011, Oct Average, China, CHN
-4.5, 2011, Nov Average, China, CHN
-12.3, 2011, Dec Average, China, CHN
-15.4, 2012, Jan Average, China, CHN
-12.0, 2012, Feb Average, China, CHN
-5.5, 2012, Mar Average, China, CHN
2.6, 2012, Apr Average, China, CHN
8.2, 2012, May Average, China, CHN
12.5, 2012, Jun Average, China, CHN
15.0, 2012, Jul Average, China, CHN
13.5, 2012, Aug Average, China, CHN
8.4, 2012, Sep Average, China, CHN
1.2, 2012, Oct Average, China, CHN
-6.5, 2012, Nov Average, China, CHN
-13.0, 2012, Dec Average, China, CHN
-14.7, 2013, Jan Average, China, CHN
-10.9, 2013, Feb Average, China, CHN
-4.2, 2013, Mar Average, China, CHN
1.6, 2013, Apr Average, China, CHN
8.1, 2013, May Average, China, CHN
12.4, 2013, Jun Average, China, CHN
14.9, 2013, Jul Average, China, CHN
14.0, 2013, Aug Average, China, CHN
8.4, 2013, Sep Average, China, CHN
2.0, 2013, Oct Average, China, CHN
-5.4, 2013, Nov Average, China, CHN
-11.8, 2013, Dec Average, China, CHN
-13.1, 2014, Jan Average, China, CHN
-11.6, 2014, Feb Average, China, CHN
-4.0, 2014, Mar Average, China, CHN
3.0, 2014, Apr Average, China, CHN
7.3, 2014, May Average, China, CHN
12.2, 2014, Jun Average, China, CHN
14.5, 2014, Jul Average, China, CHN
13.0, 2014, Aug Average, China, CHN
8.9, 2014, Sep Average, China, CHN
2.4, 2014, Oct Average, China, CHN
-4.8, 2014, Nov Average, China, CHN
-12.5, 2014, Dec Average, China, CHN
-12.3, 2015, Jan Average, China, CHN
-9.5, 2015, Feb Average, China, CHN
-3.9, 2015, Mar Average, China, CHN
2.4, 2015, Apr Average, China, CHN
7.8, 2015, May Average, China, CHN
12.0, 2015, Jun Average, China, CHN
14.1, 2015, Jul Average, China, CHN
13.3, 2015, Aug Average, China, CHN
8.9, 2015, Sep Average, China, CHN
2.1, 2015, Oct Average, China, CHN
-5.0, 2015, Nov Average, China, CHN
-10.7, 2015, Dec Average, China, CHN
-14.1, 2016, Jan Average, China, CHN
-11.3, 2016, Feb Average, China, CHN
-3.6, 2016, Mar Average, China, CHN
3.4, 2016, Apr Average, China, CHN
7.1, 2016, May Average, China, CHN
12.1, 2016, Jun Average, China, CHN
15.0, 2016, Jul Average, China, CHN
14.1, 2016, Aug Average, China, CHN
9.5, 2016, Sep Average, China, CHN
1.9, 2016, Oct Average, China, CHN
-6.4, 2016, Nov Average, China, CHN
-10.0, 2016, Dec Average, China, CHN
-12.4, 2017, Jan Average, China, CHN
-9.3, 2017, Feb Average, China, CHN
-4.6, 2017, Mar Average, China, CHN
2.8, 2017, Apr Average, China, CHN
7.9, 2017, May Average, China, CHN
12.0, 2017, Jun Average, China, CHN
15.2, 2017, Jul Average, China, CHN
13.7, 2017, Aug Average, China, CHN
9.3, 2017, Sep Average, China, CHN
2.0, 2017, Oct Average, China, CHN
-5.8, 2017, Nov Average, China, CHN
-11.5, 2017, Dec Average, China, CHN
-14.4, 2018, Jan Average, China, CHN
-11.7, 2018, Feb Average, China, CHN
-3.2, 2018, Mar Average, China, CHN
2.8, 2018, Apr Average, China, CHN
7.8, 2018, May Average, China, CHN
12.6, 2018, Jun Average, China, CHN
15.2, 2018, Jul Average, China, CHN
14.2, 2018, Aug Average, China, CHN
8.6, 2018, Sep Average, China, CHN
1.3, 2018, Oct Average, China, CHN
-5.7, 2018, Nov Average, China, CHN
-12.4, 2018, Dec Average, China, CHN
-12.8, 2019, Jan Average, China, CHN
-10.7, 2019, Feb Average, China, CHN
-4.0, 2019, Mar Average, China, CHN
3.1, 2019, Apr Average, China, CHN
7.1, 2019, May Average, China, CHN
12.0, 2019, Jun Average, China, CHN
14.4, 2019, Jul Average, China, CHN
13.8, 2019, Aug Average, China, CHN
9.3, 2019, Sep Average, China, CHN
2.4, 2019, Oct Average, China, CHN
-5.0, 2019, Nov Average, China, CHN
-11.9, 2019, Dec Average, China, CHN
-12.4, 2020, Jan Average, China, CHN
-9.8, 2020, Feb Average, China, CHN
-3.4, 2020, Mar Average, China, CHN
1.9, 2020, Apr Average, China, CHN
8.0, 2020, May Average, China, CHN
12.2, 2020, Jun Average, China, CHN
14.4, 2020, Jul Average, China, CHN
13.8, 2020, Aug Average, China, CHN
9.0, 2020, Sep Average, China, CHN
1.5, 2020, Oct Average, China, CHN
-4.9, 2020, Nov Average, China, CHN
-12.6, 2020, Dec Average, China, CHN
