tasmax, Year, Statistics, Country, ISO3
30.9, 1942, May Average, Indonesia, IDN
30.6, 1942, Jun Average, Indonesia, IDN
30.1, 1942, Jul Average, Indonesia, IDN
30.4, 1942, Aug Average, Indonesia, IDN
30.7, 1942, Sep Average, Indonesia, IDN
31.0, 1942, Oct Average, Indonesia, IDN
30.9, 1942, Nov Average, Indonesia, IDN
30.5, 1942, Dec Average, Indonesia, IDN
29.9, 1943, Jan Average, Indonesia, IDN
30.1, 1943, Feb Average, Indonesia, IDN
30.3, 1943, Mar Average, Indonesia, IDN
30.6, 1943, Apr Average, Indonesia, IDN
30.8, 1943, May Average, Indonesia, IDN
30.2, 1943, Jun Average, Indonesia, IDN
30.1, 1943, Jul Average, Indonesia, IDN
30.4, 1943, Aug Average, Indonesia, IDN
30.7, 1943, Sep Average, Indonesia, IDN
30.9, 1943, Oct Average, Indonesia, IDN
30.9, 1943, Nov Average, Indonesia, IDN
30.4, 1943, Dec Average, Indonesia, IDN
30.2, 1944, Jan Average, Indonesia, IDN
30.2, 1944, Feb Average, Indonesia, IDN
30.5, 1944, Mar Average, Indonesia, IDN
30.6, 1944, Apr Average, Indonesia, IDN
30.7, 1944, May Average, Indonesia, IDN
30.3, 1944, Jun Average, Indonesia, IDN
30.0, 1944, Jul Average, Indonesia, IDN
30.3, 1944, Aug Average, Indonesia, IDN
30.7, 1944, Sep Average, Indonesia, IDN
31.1, 1944, Oct Average, Indonesia, IDN
30.9, 1944, Nov Average, Indonesia, IDN
30.4, 1944, Dec Average, Indonesia, IDN
30.3, 1945, Jan Average, Indonesia, IDN
30.3, 1945, Feb Average, Indonesia, IDN
30.5, 1945, Mar Average, Indonesia, IDN
30.7, 1945, Apr Average, Indonesia, IDN
30.8, 1945, May Average, Indonesia, IDN
30.2, 1945, Jun Average, Indonesia, IDN
30.0, 1945, Jul Average, Indonesia, IDN
30.4, 1945, Aug Average, Indonesia, IDN
30.7, 1945, Sep Average, Indonesia, IDN
31.0, 1945, Oct Average, Indonesia, IDN
30.9, 1945, Nov Average, Indonesia, IDN
30.4, 1945, Dec Average, Indonesia, IDN
30.4, 1946, Jan Average, Indonesia, IDN
30.2, 1946, Feb Average, Indonesia, IDN
30.5, 1946, Mar Average, Indonesia, IDN
30.7, 1946, Apr Average, Indonesia, IDN
30.6, 1946, May Average, Indonesia, IDN
30.4, 1946, Jun Average, Indonesia, IDN
30.4, 1946, Jul Average, Indonesia, IDN
30.8, 1946, Aug Average, Indonesia, IDN
30.6, 1946, Sep Average, Indonesia, IDN
31.1, 1946, Oct Average, Indonesia, IDN
30.9, 1946, Nov Average, Indonesia, IDN
30.5, 1946, Dec Average, Indonesia, IDN
30.5, 1947, Jan Average, Indonesia, IDN
30.5, 1947, Feb Average, Indonesia, IDN
30.4, 1947, Mar Average, Indonesia, IDN
30.6, 1947, Apr Average, Indonesia, IDN
30.9, 1947, May Average, Indonesia, IDN
30.5, 1947, Jun Average, Indonesia, IDN
30.2, 1947, Jul Average, Indonesia, IDN
30.5, 1947, Aug Average, Indonesia, IDN
30.7, 1947, Sep Average, Indonesia, IDN
31.1, 1947, Oct Average, Indonesia, IDN
30.9, 1947, Nov Average, Indonesia, IDN
