tasmax, Year, Statistics, Country, ISO3
30.8, 1910, Sep Average, Indonesia, IDN
30.7, 1910, Oct Average, Indonesia, IDN
30.9, 1910, Nov Average, Indonesia, IDN
30.2, 1910, Dec Average, Indonesia, IDN
30.1, 1911, Jan Average, Indonesia, IDN
30.3, 1911, Feb Average, Indonesia, IDN
30.6, 1911, Mar Average, Indonesia, IDN
30.8, 1911, Apr Average, Indonesia, IDN
30.9, 1911, May Average, Indonesia, IDN
30.4, 1911, Jun Average, Indonesia, IDN
30.2, 1911, Jul Average, Indonesia, IDN
30.3, 1911, Aug Average, Indonesia, IDN
30.7, 1911, Sep Average, Indonesia, IDN
31.0, 1911, Oct Average, Indonesia, IDN
31.2, 1911, Nov Average, Indonesia, IDN
30.6, 1911, Dec Average, Indonesia, IDN
30.3, 1912, Jan Average, Indonesia, IDN
30.5, 1912, Feb Average, Indonesia, IDN
30.7, 1912, Mar Average, Indonesia, IDN
31.0, 1912, Apr Average, Indonesia, IDN
31.0, 1912, May Average, Indonesia, IDN
30.4, 1912, Jun Average, Indonesia, IDN
30.2, 1912, Jul Average, Indonesia, IDN
30.5, 1912, Aug Average, Indonesia, IDN
30.7, 1912, Sep Average, Indonesia, IDN
31.0, 1912, Oct Average, Indonesia, IDN
31.1, 1912, Nov Average, Indonesia, IDN
30.5, 1912, Dec Average, Indonesia, IDN
30.2, 1913, Jan Average, Indonesia, IDN
30.4, 1913, Feb Average, Indonesia, IDN
30.6, 1913, Mar Average, Indonesia, IDN
30.7, 1913, Apr Average, Indonesia, IDN
31.0, 1913, May Average, Indonesia, IDN
30.3, 1913, Jun Average, Indonesia, IDN
30.2, 1913, Jul Average, Indonesia, IDN
30.4, 1913, Aug Average, Indonesia, IDN
30.7, 1913, Sep Average, Indonesia, IDN
31.1, 1913, Oct Average, Indonesia, IDN
31.2, 1913, Nov Average, Indonesia, IDN
30.6, 1913, Dec Average, Indonesia, IDN
30.2, 1914, Jan Average, Indonesia, IDN
30.5, 1914, Feb Average, Indonesia, IDN
30.6, 1914, Mar Average, Indonesia, IDN
30.8, 1914, Apr Average, Indonesia, IDN
31.2, 1914, May Average, Indonesia, IDN
30.4, 1914, Jun Average, Indonesia, IDN
30.2, 1914, Jul Average, Indonesia, IDN
30.5, 1914, Aug Average, Indonesia, IDN
30.8, 1914, Sep Average, Indonesia, IDN
31.2, 1914, Oct Average, Indonesia, IDN
31.2, 1914, Nov Average, Indonesia, IDN
30.7, 1914, Dec Average, Indonesia, IDN
30.1, 1915, Jan Average, Indonesia, IDN
30.3, 1915, Feb Average, Indonesia, IDN
30.6, 1915, Mar Average, Indonesia, IDN
30.9, 1915, Apr Average, Indonesia, IDN
31.0, 1915, May Average, Indonesia, IDN
30.6, 1915, Jun Average, Indonesia, IDN
30.3, 1915, Jul Average, Indonesia, IDN
30.7, 1915, Aug Average, Indonesia, IDN
30.8, 1915, Sep Average, Indonesia, IDN
31.1, 1915, Oct Average, Indonesia, IDN
31.2, 1915, Nov Average, Indonesia, IDN
30.5, 1915, Dec Average, Indonesia, IDN
29.9, 1916, Jan Average, Indonesia, IDN
30.2, 1916, Feb Average, Indonesia, IDN
30.5, 1916, Mar Average, Indonesia, IDN
30.8, 1916, Apr Average, Indonesia, IDN
30.7, 1916, May Average, Indonesia, IDN
30.3, 1916, Jun Average, Indonesia, IDN
30.1, 1916, Jul Average, Indonesia, IDN
30.4, 1916, Aug Average, Indonesia, IDN
30.7, 1916, Sep Average, Indonesia, IDN
31.1, 1916, Oct Average, Indonesia, IDN
31.2, 1916, Nov Average, Indonesia, IDN
30.4, 1916, Dec Average, Indonesia, IDN
29.8, 1917, Jan Average, Indonesia, IDN
30.0, 1917, Feb Average, Indonesia, IDN
30.3, 1917, Mar Average, Indonesia, IDN
30.6, 1917, Apr Average, Indonesia, IDN
30.6, 1917, May Average, Indonesia, IDN
30.3, 1917, Jun Average, Indonesia, IDN
30.2, 1917, Jul Average, Indonesia, IDN
30.4, 1917, Aug Average, Indonesia, IDN
30.8, 1917, Sep Average, Indonesia, IDN
31.3, 1917, Oct Average, Indonesia, IDN
31.2, 1917, Nov Average, Indonesia, IDN
30.6, 1917, Dec Average, Indonesia, IDN
29.5, 1918, Jan Average, Indonesia, IDN
29.6, 1918, Feb Average, Indonesia, IDN
30.3, 1918, Mar Average, Indonesia, IDN
30.7, 1918, Apr Average, Indonesia, IDN
30.7, 1918, May Average, Indonesia, IDN
30.2, 1918, Jun Average, Indonesia, IDN
30.1, 1918, Jul Average, Indonesia, IDN
30.4, 1918, Aug Average, Indonesia, IDN
30.7, 1918, Sep Average, Indonesia, IDN
31.1, 1918, Oct Average, Indonesia, IDN
31.2, 1918, Nov Average, Indonesia, IDN
30.4, 1918, Dec Average, Indonesia, IDN
30.3, 1919, Jan Average, Indonesia, IDN
30.5, 1919, Feb Average, Indonesia, IDN
30.7, 1919, Mar Average, Indonesia, IDN
30.8, 1919, Apr Average, Indonesia, IDN
30.9, 1919, May Average, Indonesia, IDN
30.4, 1919, Jun Average, Indonesia, IDN
30.0, 1919, Jul Average, Indonesia, IDN
30.4, 1919, Aug Average, Indonesia, IDN
30.7, 1919, Sep Average, Indonesia, IDN
31.1, 1919, Oct Average, Indonesia, IDN
31.1, 1919, Nov Average, Indonesia, IDN
30.4, 1919, Dec Average, Indonesia, IDN
29.9, 1920, Jan Average, Indonesia, IDN
30.1, 1920, Feb Average, Indonesia, IDN
30.6, 1920, Mar Average, Indonesia, IDN
30.7, 1920, Apr Average, Indonesia, IDN
31.0, 1920, May Average, Indonesia, IDN
30.5, 1920, Jun Average, Indonesia, IDN
30.3, 1920, Jul Average, Indonesia, IDN
30.4, 1920, Aug Average, Indonesia, IDN
31.0, 1920, Sep Average, Indonesia, IDN
31.3, 1920, Oct Average, Indonesia, IDN
31.2, 1920, Nov Average, Indonesia, IDN
30.3, 1920, Dec Average, Indonesia, IDN
30.1, 1921, Jan Average, Indonesia, IDN
30.2, 1921, Feb Average, Indonesia, IDN
30.3, 1921, Mar Average, Indonesia, IDN
30.6, 1921, Apr Average, Indonesia, IDN
30.6, 1921, May Average, Indonesia, IDN
30.2, 1921, Jun Average, Indonesia, IDN
30.2, 1921, Jul Average, Indonesia, IDN
30.5, 1921, Aug Average, Indonesia, IDN
30.7, 1921, Sep Average, Indonesia, IDN
30.9, 1921, Oct Average, Indonesia, IDN
31.0, 1921, Nov Average, Indonesia, IDN
30.4, 1921, Dec Average, Indonesia, IDN
30.2, 1922, Jan Average, Indonesia, IDN
30.1, 1922, Feb Average, Indonesia, IDN
30.3, 1922, Mar Average, Indonesia, IDN
30.6, 1922, Apr Average, Indonesia, IDN
30.6, 1922, May Average, Indonesia, IDN
30.3, 1922, Jun Average, Indonesia, IDN
30.2, 1922, Jul Average, Indonesia, IDN
30.3, 1922, Aug Average, Indonesia, IDN
30.7, 1922, Sep Average, Indonesia, IDN
31.0, 1922, Oct Average, Indonesia, IDN
31.2, 1922, Nov Average, Indonesia, IDN
30.6, 1922, Dec Average, Indonesia, IDN
30.1, 1923, Jan Average, Indonesia, IDN
30.3, 1923, Feb Average, Indonesia, IDN
30.3, 1923, Mar Average, Indonesia, IDN
30.9, 1923, Apr Average, Indonesia, IDN
30.8, 1923, May Average, Indonesia, IDN
30.4, 1923, Jun Average, Indonesia, IDN
30.0, 1923, Jul Average, Indonesia, IDN
30.1, 1923, Aug Average, Indonesia, IDN
30.5, 1923, Sep Average, Indonesia, IDN
31.1, 1923, Oct Average, Indonesia, IDN
31.1, 1923, Nov Average, Indonesia, IDN
30.5, 1923, Dec Average, Indonesia, IDN
30.3, 1924, Jan Average, Indonesia, IDN
30.3, 1924, Feb Average, Indonesia, IDN
30.4, 1924, Mar Average, Indonesia, IDN
30.7, 1924, Apr Average, Indonesia, IDN
30.9, 1924, May Average, Indonesia, IDN
30.4, 1924, Jun Average, Indonesia, IDN
30.3, 1924, Jul Average, Indonesia, IDN
30.6, 1924, Aug Average, Indonesia, IDN
30.7, 1924, Sep Average, Indonesia, IDN
30.8, 1924, Oct Average, Indonesia, IDN
30.9, 1924, Nov Average, Indonesia, IDN
30.3, 1924, Dec Average, Indonesia, IDN
30.1, 1925, Jan Average, Indonesia, IDN
29.9, 1925, Feb Average, Indonesia, IDN
30.1, 1925, Mar Average, Indonesia, IDN
30.7, 1925, Apr Average, Indonesia, IDN
30.9, 1925, May Average, Indonesia, IDN
30.5, 1925, Jun Average, Indonesia, IDN
30.2, 1925, Jul Average, Indonesia, IDN
30.6, 1925, Aug Average, Indonesia, IDN
30.8, 1925, Sep Average, Indonesia, IDN
31.0, 1925, Oct Average, Indonesia, IDN
31.1, 1925, Nov Average, Indonesia, IDN
30.5, 1925, Dec Average, Indonesia, IDN
30.0, 1926, Jan Average, Indonesia, IDN
30.5, 1926, Feb Average, Indonesia, IDN
30.7, 1926, Mar Average, Indonesia, IDN
31.1, 1926, Apr Average, Indonesia, IDN
31.1, 1926, May Average, Indonesia, IDN
30.5, 1926, Jun Average, Indonesia, IDN
30.3, 1926, Jul Average, Indonesia, IDN
30.7, 1926, Aug Average, Indonesia, IDN
30.8, 1926, Sep Average, Indonesia, IDN
31.1, 1926, Oct Average, Indonesia, IDN
31.1, 1926, Nov Average, Indonesia, IDN
30.5, 1926, Dec Average, Indonesia, IDN
30.0, 1927, Jan Average, Indonesia, IDN
30.4, 1927, Feb Average, Indonesia, IDN
30.6, 1927, Mar Average, Indonesia, IDN
30.8, 1927, Apr Average, Indonesia, IDN
31.0, 1927, May Average, Indonesia, IDN
30.5, 1927, Jun Average, Indonesia, IDN
30.3, 1927, Jul Average, Indonesia, IDN
30.6, 1927, Aug Average, Indonesia, IDN
30.8, 1927, Sep Average, Indonesia, IDN
31.0, 1927, Oct Average, Indonesia, IDN
31.1, 1927, Nov Average, Indonesia, IDN
30.6, 1927, Dec Average, Indonesia, IDN
