,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas
iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
2010,22.2,26.2,-3.75,7.25,8.9,25.6,11.25,8.6,26.3,26.35,25.85,-4.75,12.1,8.25
2011,22.05,25.75,-6.95,8.6,11.0,23.35,13.1,10.25,26.05,26.05,25.9,-2.6,10.6,7.6
2012,22.55,25.75,-6.6,8.25,9.0,25.1,11.15,7.95,26.2,25.65,25.75,-3.8,13.8,7.85
2013,23.35,26.0,-6.7,8.1,9.9,23.05,10.55,7.85,26.3,25.85,25.75,-4.35,11.6,6.65
2014,23.6,25.95,-7.05,8.9,11.75,24.5,12.65,10.0,26.35,25.95,25.95,-4.05,12.45,8.0
2015,22.9,26.15,-6.45,8.55,8.95,24.15,11.45,8.8,26.3,26.45,26.1,-4.45,11.75,8.8
2016,22.85,26.45,-7.05,8.55,8.6,25.5,10.6,8.05,26.4,26.1,26.3,-3.9,13.4,9.2
2017,22.85,26.25,-6.6,8.5,9.75,23.65,11.9,9.4,26.2,26.55,26.0,-4.05,11.55,8.7
2018,23.95,26.05,-8.4,8.4,11.8,24.65,12.9,8.95,26.25,25.95,26.15,-2.7,13.8,7.3
2019,23.55,26.35,-6.85,9.05,10.6,24.15,11.6,8.8,26.4,25.85,26.1,-3.25,12.55,7.75
2020,23.3,26.55,-7.95,8.05,10.75,24.3,12.25,9.1,26.45,26.45,26.3,-2.4,12.85,7.4
