iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin
2010,15.6,20.85,-8.05,1.3,4.2,17.65,6.4,4.15,21.65,21.2,21.5,-9.4,6.65,1.75
2011,15.05,20.7,-11.3,2.3,5.9,15.9,7.9,6.35,21.45,20.2,22.0,-7.1,5.15,1.35
2012,15.0,20.9,-10.8,1.9,4.65,17.55,6.95,4.35,21.6,20.1,21.9,-8.25,7.5,1.5
2013,15.7,20.75,-10.95,1.8,5.65,15.55,6.15,4.15,21.7,20.3,21.7,-8.95,5.2,0.45
2014,16.3,21.05,-11.3,2.7,7.0,17.0,7.75,6.25,21.65,20.25,21.8,-8.7,6.55,1.55
2015,15.8,21.2,-10.95,2.25,5.05,16.7,6.9,5.55,21.6,20.3,22.05,-8.95,6.0,2.65
2016,15.5,21.35,-11.0,2.65,4.6,18.05,6.1,4.75,21.8,20.9,22.55,-8.3,6.65,2.8
2017,15.65,21.1,-11.0,2.4,5.45,16.2,7.2,5.55,21.7,21.15,22.05,-8.4,5.25,2.35
2018,16.5,21.05,-13.0,2.05,6.55,17.2,8.15,5.4,21.45,20.6,22.1,-7.35,7.35,1.25
2019,16.1,21.3,-11.15,2.75,5.35,16.65,6.5,4.7,21.75,20.6,22.5,-7.85,6.55,1.65
2020,16.25,21.25,-12.35,1.7,5.8,16.55,7.65,5.65,21.65,20.5,22.45,-7.0,6.55,0.9
