month,rainfall_mm,year,country,iso3,season
Mar,22.0,1973,China,CHN,spring
Apr,59.8,1973,China,CHN,spring
May,78.8,1973,China,CHN,spring
Jun,99.0,1973,China,CHN,summer
Jul,114.5,1973,China,CHN,summer
Aug,103.1,1973,China,CHN,summer
Sep,72.3,1973,China,CHN,autumn
Oct,36.3,1973,China,CHN,autumn
Nov,13.6,1973,China,CHN,autumn
Dec,2.4,1973,China,CHN,winter
Jan,11.3,1974,China,CHN,winter
Feb,14.2,1974,China,CHN,winter
Mar,20.0,1974,China,CHN,spring
Apr,42.2,1974,China,CHN,spring
May,63.0,1974,China,CHN,spring
Jun,88.6,1974,China,CHN,summer
Jul,112.4,1974,China,CHN,summer
Aug,102.8,1974,China,CHN,summer
Sep,59.0,1974,China,CHN,autumn
Oct,36.1,1974,China,CHN,autumn
Nov,13.7,1974,China,CHN,autumn
Dec,15.0,1974,China,CHN,winter
Jan,11.4,1975,China,CHN,winter
Feb,15.4,1975,China,CHN,winter
Mar,24.7,1975,China,CHN,spring
Apr,50.0,1975,China,CHN,spring
May,69.1,1975,China,CHN,spring
Jun,88.1,1975,China,CHN,summer
Jul,104.6,1975,China,CHN,summer
Aug,88.8,1975,China,CHN,summer
Sep,69.0,1975,China,CHN,autumn
Oct,45.0,1975,China,CHN,autumn
Nov,18.3,1975,China,CHN,autumn
Dec,12.7,1975,China,CHN,winter
Jan,5.6,1976,China,CHN,winter
Feb,18.6,1976,China,CHN,winter
Mar,21.3,1976,China,CHN,spring
Apr,43.5,1976,China,CHN,spring
May,57.3,1976,China,CHN,spring
Jun,98.5,1976,China,CHN,summer
Jul,101.1,1976,China,CHN,summer
Aug,97.3,1976,China,CHN,summer
Sep,52.9,1976,China,CHN,autumn
Oct,39.8,1976,China,CHN,autumn
Nov,13.6,1976,China,CHN,autumn
Dec,6.2,1976,China,CHN,winter
Jan,12.3,1977,China,CHN,winter
Feb,8.3,1977,China,CHN,winter
Mar,18.7,1977,China,CHN,spring
Apr,51.5,1977,China,CHN,spring
May,65.3,1977,China,CHN,spring
Jun,92.0,1977,China,CHN,summer
Jul,121.7,1977,China,CHN,summer
Aug,80.8,1977,China,CHN,summer
Sep,52.0,1977,China,CHN,autumn
Oct,43.5,1977,China,CHN,autumn
Nov,16.0,1977,China,CHN,autumn
Dec,17.4,1977,China,CHN,winter
Jan,10.8,1978,China,CHN,winter
Feb,12.1,1978,China,CHN,winter
Mar,28.1,1978,China,CHN,spring
Apr,35.4,1978,China,CHN,spring
May,70.7,1978,China,CHN,spring
Jun,89.5,1978,China,CHN,summer
Jul,91.2,1978,China,CHN,summer
Aug,85.3,1978,China,CHN,summer
Sep,57.1,1978,China,CHN,autumn
Oct,32.9,1978,China,CHN,autumn
Nov,17.7,1978,China,CHN,autumn
Dec,6.2,1978,China,CHN,winter
Jan,11.3,1979,China,CHN,winter
Feb,14.0,1979,China,CHN,winter
Mar,25.9,1979,China,CHN,spring
Apr,45.0,1979,China,CHN,spring
May,46.0,1979,China,CHN,spring
Jun,97.3,1979,China,CHN,summer
Jul,116.0,1979,China,CHN,summer
Aug,94.4,1979,China,CHN,summer
Sep,66.7,1979,China,CHN,autumn
Oct,17.7,1979,China,CHN,autumn
Nov,9.6,1979,China,CHN,autumn
Dec,12.0,1979,China,CHN,winter
Jan,10.2,1980,China,CHN,winter
Feb,14.5,1980,China,CHN,winter
Mar,29.6,1980,China,CHN,spring
Apr,43.0,1980,China,CHN,spring
May,62.3,1980,China,CHN,spring
Jun,89.8,1980,China,CHN,summer
Jul,102.4,1980,China,CHN,summer
Aug,114.7,1980,China,CHN,summer
Sep,52.6,1980,China,CHN,autumn
Oct,40.7,1980,China,CHN,autumn
Nov,9.8,1980,China,CHN,autumn
Dec,6.1,1980,China,CHN,winter
Jan,10.8,1981,China,CHN,winter
Feb,12.6,1981,China,CHN,winter
Mar,32.7,1981,China,CHN,spring
Apr,47.7,1981,China,CHN,spring
May,57.7,1981,China,CHN,spring
Jun,84.1,1981,China,CHN,summer
Jul,117.7,1981,China,CHN,summer
Aug,96.4,1981,China,CHN,summer
Sep,55.2,1981,China,CHN,autumn
Oct,33.9,1981,China,CHN,autumn
Nov,26.0,1981,China,CHN,autumn
Dec,4.0,1981,China,CHN,winter
Jan,6.0,1982,China,CHN,winter
Feb,19.5,1982,China,CHN,winter
Mar,23.6,1982,China,CHN,spring
Apr,41.7,1982,China,CHN,spring
May,54.8,1982,China,CHN,spring
Jun,83.1,1982,China,CHN,summer
Jul,101.8,1982,China,CHN,summer
Aug,103.1,1982,China,CHN,summer
Sep,62.4,1982,China,CHN,autumn
Oct,29.2,1982,China,CHN,autumn
Nov,32.8,1982,China,CHN,autumn
Dec,7.9,1982,China,CHN,winter
Jan,18.3,1983,China,CHN,winter
Feb,23.1,1983,China,CHN,winter
Mar,33.1,1983,China,CHN,spring
Apr,50.5,1983,China,CHN,spring
May,65.5,1983,China,CHN,spring
Jun,89.6,1983,China,CHN,summer
Jul,106.3,1983,China,CHN,summer
Aug,89.0,1983,China,CHN,summer
Sep,76.2,1983,China,CHN,autumn
Oct,46.6,1983,China,CHN,autumn
Nov,13.1,1983,China,CHN,autumn
Dec,9.4,1983,China,CHN,winter
Jan,8.3,1984,China,CHN,winter
Feb,8.1,1984,China,CHN,winter
Mar,17.7,1984,China,CHN,spring
Apr,44.3,1984,China,CHN,spring
May,67.2,1984,China,CHN,spring
Jun,102.5,1984,China,CHN,summer
Jul,106.1,1984,China,CHN,summer
Aug,101.3,1984,China,CHN,summer
Sep,63.7,1984,China,CHN,autumn
Oct,27.0,1984,China,CHN,autumn
Nov,12.9,1984,China,CHN,autumn
Dec,12.4,1984,China,CHN,winter
Jan,8.3,1985,China,CHN,winter
Feb,24.3,1985,China,CHN,winter
Mar,25.7,1985,China,CHN,spring
Apr,36.4,1985,China,CHN,spring
May,64.2,1985,China,CHN,spring
Jun,78.0,1985,China,CHN,summer
Jul,105.5,1985,China,CHN,summer
Aug,107.9,1985,China,CHN,summer
Sep,74.4,1985,China,CHN,autumn
Oct,30.8,1985,China,CHN,autumn
Nov,16.4,1985,China,CHN,autumn
Dec,9.0,1985,China,CHN,winter
Jan,4.0,1986,China,CHN,winter
Feb,11.3,1986,China,CHN,winter
Mar,24.6,1986,China,CHN,spring
Apr,38.5,1986,China,CHN,spring
May,48.3,1986,China,CHN,spring
Jun,94.1,1986,China,CHN,summer
Jul,112.6,1986,China,CHN,summer
Aug,76.0,1986,China,CHN,summer
Sep,53.1,1986,China,CHN,autumn
Oct,33.2,1986,China,CHN,autumn
Nov,17.3,1986,China,CHN,autumn
Dec,10.7,1986,China,CHN,winter
Jan,10.3,1987,China,CHN,winter
Feb,11.8,1987,China,CHN,winter
Mar,30.7,1987,China,CHN,spring
Apr,41.3,1987,China,CHN,spring
May,60.8,1987,China,CHN,spring
Jun,84.9,1987,China,CHN,summer
Jul,109.8,1987,China,CHN,summer
Aug,105.0,1987,China,CHN,summer
Sep,61.3,1987,China,CHN,autumn
Oct,41.1,1987,China,CHN,autumn
Nov,24.3,1987,China,CHN,autumn
Dec,4.6,1987,China,CHN,winter
Jan,7.4,1988,China,CHN,winter
Feb,18.1,1988,China,CHN,winter
Mar,27.8,1988,China,CHN,spring
Apr,30.2,1988,China,CHN,spring
May,75.4,1988,China,CHN,spring
Jun,73.6,1988,China,CHN,summer
Jul,106.8,1988,China,CHN,summer
Aug,110.5,1988,China,CHN,summer
Sep,62.5,1988,China,CHN,autumn
Oct,27.4,1988,China,CHN,autumn
Nov,8.5,1988,China,CHN,autumn
Dec,8.5,1988,China,CHN,winter
Jan,20.4,1989,China,CHN,winter
Feb,15.4,1989,China,CHN,winter
Mar,22.6,1989,China,CHN,spring
Apr,43.6,1989,China,CHN,spring
May,59.5,1989,China,CHN,spring
Jun,92.4,1989,China,CHN,summer
Jul,106.3,1989,China,CHN,summer
Aug,80.6,1989,China,CHN,summer
Sep,61.3,1989,China,CHN,autumn
Oct,31.5,1989,China,CHN,autumn
Nov,16.2,1989,China,CHN,autumn
Dec,10.4,1989,China,CHN,winter
Jan,15.3,1990,China,CHN,winter
Feb,29.1,1990,China,CHN,winter
Mar,35.5,1990,China,CHN,spring
Apr,47.4,1990,China,CHN,spring
May,69.4,1990,China,CHN,spring
Jun,95.4,1990,China,CHN,summer
Jul,116.1,1990,China,CHN,summer
Aug,85.9,1990,China,CHN,summer
Sep,66.3,1990,China,CHN,autumn
Oct,27.5,1990,China,CHN,autumn
Nov,24.3,1990,China,CHN,autumn
Dec,9.2,1990,China,CHN,winter
Jan,15.6,1991,China,CHN,winter
Feb,11.9,1991,China,CHN,winter
Mar,34.7,1991,China,CHN,spring
Apr,36.0,1991,China,CHN,spring
May,53.0,1991,China,CHN,spring
Jun,103.5,1991,China,CHN,summer
Jul,118.8,1991,China,CHN,summer
Aug,86.4,1991,China,CHN,summer
Sep,52.5,1991,China,CHN,autumn
Oct,25.9,1991,China,CHN,autumn
Nov,13.5,1991,China,CHN,autumn
Dec,13.1,1991,China,CHN,winter
Jan,12.6,1992,China,CHN,winter
Feb,20.4,1992,China,CHN,winter
Mar,45.5,1992,China,CHN,spring
Apr,33.6,1992,China,CHN,spring
May,62.8,1992,China,CHN,spring
Jun,91.3,1992,China,CHN,summer
Jul,99.9,1992,China,CHN,summer
Aug,80.3,1992,China,CHN,summer
Sep,54.0,1992,China,CHN,autumn
Oct,26.5,1992,China,CHN,autumn
Nov,11.7,1992,China,CHN,autumn
Dec,13.0,1992,China,CHN,winter
Jan,14.5,1993,China,CHN,winter
Feb,20.2,1993,China,CHN,winter
Mar,25.0,1993,China,CHN,spring
Apr,35.1,1993,China,CHN,spring
May,63.4,1993,China,CHN,spring
Jun,103.2,1993,China,CHN,summer
Jul,114.1,1993,China,CHN,summer
Aug,107.5,1993,China,CHN,summer
Sep,59.4,1993,China,CHN,autumn
Oct,27.6,1993,China,CHN,autumn
Nov,26.0,1993,China,CHN,autumn
Dec,7.3,1993,China,CHN,winter
Jan,7.4,1994,China,CHN,winter
Feb,17.3,1994,China,CHN,winter
Mar,23.6,1994,China,CHN,spring
Apr,39.4,1994,China,CHN,spring
May,55.2,1994,China,CHN,spring
Jun,101.7,1994,China,CHN,summer
Jul,115.7,1994,China,CHN,summer
Aug,101.3,1994,China,CHN,summer
Sep,57.5,1994,China,CHN,autumn
Oct,33.2,1994,China,CHN,autumn
Nov,16.8,1994,China,CHN,autumn
Dec,20.3,1994,China,CHN,winter
Jan,12.9,1995,China,CHN,winter
Feb,16.2,1995,China,CHN,winter
Mar,20.9,1995,China,CHN,spring
Apr,35.4,1995,China,CHN,spring
May,52.8,1995,China,CHN,spring
Jun,98.0,1995,China,CHN,summer
Jul,112.6,1995,China,CHN,summer
Aug,107.4,1995,China,CHN,summer
Sep,54.9,1995,China,CHN,autumn
Oct,41.2,1995,China,CHN,autumn
Nov,12.9,1995,China,CHN,autumn
Dec,5.7,1995,China,CHN,winter
Jan,10.8,1996,China,CHN,winter
Feb,9.8,1996,China,CHN,winter
Mar,38.0,1996,China,CHN,spring
Apr,35.1,1996,China,CHN,spring
May,53.1,1996,China,CHN,spring
Jun,97.7,1996,China,CHN,summer
Jul,133.2,1996,China,CHN,summer
Aug,101.6,1996,China,CHN,summer
Sep,48.3,1996,China,CHN,autumn
Oct,30.0,1996,China,CHN,autumn
Nov,21.2,1996,China,CHN,autumn
Dec,5.0,1996,China,CHN,winter
Jan,12.4,1997,China,CHN,winter
Feb,16.8,1997,China,CHN,winter
Mar,30.5,1997,China,CHN,spring
Apr,41.2,1997,China,CHN,spring
May,56.6,1997,China,CHN,spring
Jun,81.9,1997,China,CHN,summer
Jul,109.0,1997,China,CHN,summer
Aug,95.0,1997,China,CHN,summer
Sep,55.9,1997,China,CHN,autumn
Oct,27.1,1997,China,CHN,autumn
Nov,20.8,1997,China,CHN,autumn
Dec,18.1,1997,China,CHN,winter
Jan,17.9,1998,China,CHN,winter
Feb,19.9,1998,China,CHN,winter
Mar,36.8,1998,China,CHN,spring
Apr,47.3,1998,China,CHN,spring
May,71.7,1998,China,CHN,spring
Jun,109.6,1998,China,CHN,summer
Jul,128.3,1998,China,CHN,summer
Aug,114.9,1998,China,CHN,summer
Sep,42.9,1998,China,CHN,autumn
Oct,31.5,1998,China,CHN,autumn
Nov,11.0,1998,China,CHN,autumn
Dec,8.2,1998,China,CHN,winter
Jan,9.9,1999,China,CHN,winter
Feb,4.9,1999,China,CHN,winter
Mar,24.1,1999,China,CHN,spring
Apr,44.4,1999,China,CHN,spring
May,66.5,1999,China,CHN,spring
Jun,86.8,1999,China,CHN,summer
Jul,111.8,1999,China,CHN,summer
Aug,107.9,1999,China,CHN,summer
Sep,53.3,1999,China,CHN,autumn
Oct,38.4,1999,China,CHN,autumn
Nov,17.1,1999,China,CHN,autumn
Dec,6.1,1999,China,CHN,winter
Jan,16.1,2000,China,CHN,winter
Feb,12.6,2000,China,CHN,winter
Mar,20.2,2000,China,CHN,spring
Apr,44.0,2000,China,CHN,spring
May,57.0,2000,China,CHN,spring
Jun,94.0,2000,China,CHN,summer
Jul,97.6,2000,China,CHN,summer
Aug,103.1,2000,China,CHN,summer
Sep,56.3,2000,China,CHN,autumn
Oct,49.5,2000,China,CHN,autumn
Nov,18.4,2000,China,CHN,autumn
Dec,9.5,2000,China,CHN,winter
Jan,16.9,2001,China,CHN,winter
Feb,14.0,2001,China,CHN,winter
Mar,18.1,2001,China,CHN,spring
Apr,41.4,2001,China,CHN,spring
May,57.1,2001,China,CHN,spring
Jun,96.4,2001,China,CHN,summer
Jul,102.9,2001,China,CHN,summer
Aug,91.8,2001,China,CHN,summer
Sep,47.1,2001,China,CHN,autumn
Oct,34.6,2001,China,CHN,autumn
Nov,14.6,2001,China,CHN,autumn
Dec,14.9,2001,China,CHN,winter
Jan,13.3,2002,China,CHN,winter
Feb,11.2,2002,China,CHN,winter
Mar,26.8,2002,China,CHN,spring
Apr,49.7,2002,China,CHN,spring
May,72.5,2002,China,CHN,spring
Jun,107.8,2002,China,CHN,summer
Jul,107.7,2002,China,CHN,summer
Aug,93.1,2002,China,CHN,summer
Sep,48.5,2002,China,CHN,autumn
Oct,39.4,2002,China,CHN,autumn
Nov,14.7,2002,China,CHN,autumn
Dec,19.8,2002,China,CHN,winter
Jan,12.1,2003,China,CHN,winter
Feb,16.1,2003,China,CHN,winter
Mar,24.4,2003,China,CHN,spring
Apr,45.6,2003,China,CHN,spring
May,58.7,2003,China,CHN,spring
Jun,99.4,2003,China,CHN,summer
Jul,102.9,2003,China,CHN,summer
Aug,98.5,2003,China,CHN,summer
Sep,66.4,2003,China,CHN,autumn
Oct,30.8,2003,China,CHN,autumn
Nov,17.0,2003,China,CHN,autumn
Dec,8.1,2003,China,CHN,winter
Jan,12.2,2004,China,CHN,winter
Feb,14.9,2004,China,CHN,winter
Mar,21.0,2004,China,CHN,spring
Apr,37.9,2004,China,CHN,spring
May,73.7,2004,China,CHN,spring
Jun,77.2,2004,China,CHN,summer
Jul,115.4,2004,China,CHN,summer
Aug,90.1,2004,China,CHN,summer
Sep,53.9,2004,China,CHN,autumn
Oct,18.0,2004,China,CHN,autumn
Nov,19.9,2004,China,CHN,autumn
Dec,12.8,2004,China,CHN,winter
Jan,9.8,2005,China,CHN,winter
Feb,19.4,2005,China,CHN,winter
Mar,24.3,2005,China,CHN,spring
Apr,35.3,2005,China,CHN,spring
May,73.9,2005,China,CHN,spring
Jun,93.7,2005,China,CHN,summer
Jul,102.5,2005,China,CHN,summer
Aug,102.8,2005,China,CHN,summer
Sep,55.8,2005,China,CHN,autumn
Oct,27.7,2005,China,CHN,autumn
Nov,15.2,2005,China,CHN,autumn
Dec,8.1,2005,China,CHN,winter
Jan,11.5,2006,China,CHN,winter
Feb,19.6,2006,China,CHN,winter
Mar,20.1,2006,China,CHN,spring
Apr,43.4,2006,China,CHN,spring
May,67.6,2006,China,CHN,spring
Jun,93.1,2006,China,CHN,summer
Jul,107.0,2006,China,CHN,summer
Aug,77.6,2006,China,CHN,summer
Sep,46.4,2006,China,CHN,autumn
Oct,29.0,2006,China,CHN,autumn
Nov,23.7,2006,China,CHN,autumn
Dec,7.6,2006,China,CHN,winter
Jan,9.6,2007,China,CHN,winter
Feb,17.3,2007,China,CHN,winter
Mar,29.0,2007,China,CHN,spring
Apr,40.3,2007,China,CHN,spring
May,57.5,2007,China,CHN,spring
Jun,84.6,2007,China,CHN,summer
Jul,111.4,2007,China,CHN,summer
Aug,96.2,2007,China,CHN,summer
Sep,59.6,2007,China,CHN,autumn
Oct,27.6,2007,China,CHN,autumn
Nov,8.0,2007,China,CHN,autumn
Dec,10.1,2007,China,CHN,winter
Jan,15.6,2008,China,CHN,winter
Feb,11.2,2008,China,CHN,winter
Mar,26.3,2008,China,CHN,spring
Apr,38.1,2008,China,CHN,spring
May,62.9,2008,China,CHN,spring
Jun,96.7,2008,China,CHN,summer
Jul,114.6,2008,China,CHN,summer
Aug,103.5,2008,China,CHN,summer
Sep,54.2,2008,China,CHN,autumn
Oct,38.4,2008,China,CHN,autumn
Nov,21.1,2008,China,CHN,autumn
Dec,5.3,2008,China,CHN,winter
Jan,5.9,2009,China,CHN,winter
Feb,12.8,2009,China,CHN,winter
