month,rainfall_mm,year,country,iso3,season
Jul,98.0,1970,United Kingdom,GBR,summer
Aug,98.7,1970,United Kingdom,GBR,summer
Sep,99.1,1970,United Kingdom,GBR,autumn
Oct,108.4,1970,United Kingdom,GBR,autumn
Nov,190.0,1970,United Kingdom,GBR,autumn
Dec,68.2,1970,United Kingdom,GBR,winter
Jan,119.6,1971,United Kingdom,GBR,winter
Feb,61.4,1971,United Kingdom,GBR,winter
Mar,83.9,1971,United Kingdom,GBR,spring
Apr,60.3,1971,United Kingdom,GBR,spring
May,60.8,1971,United Kingdom,GBR,spring
Jun,91.9,1971,United Kingdom,GBR,summer
Jul,65.8,1971,United Kingdom,GBR,summer
Aug,113.3,1971,United Kingdom,GBR,summer
Sep,40.0,1971,United Kingdom,GBR,autumn
Oct,105.2,1971,United Kingdom,GBR,autumn
Nov,115.0,1971,United Kingdom,GBR,autumn
Dec,66.3,1971,United Kingdom,GBR,winter
Jan,124.7,1972,United Kingdom,GBR,winter
Feb,89.5,1972,United Kingdom,GBR,winter
Mar,86.6,1972,United Kingdom,GBR,spring
Apr,90.0,1972,United Kingdom,GBR,spring
May,88.1,1972,United Kingdom,GBR,spring
Jun,92.3,1972,United Kingdom,GBR,summer
Jul,58.5,1972,United Kingdom,GBR,summer
Aug,50.7,1972,United Kingdom,GBR,summer
Sep,36.9,1972,United Kingdom,GBR,autumn
Oct,45.6,1972,United Kingdom,GBR,autumn
Nov,128.4,1972,United Kingdom,GBR,autumn
Dec,121.1,1972,United Kingdom,GBR,winter
Jan,72.9,1973,United Kingdom,GBR,winter
Feb,68.1,1973,United Kingdom,GBR,winter
Mar,42.6,1973,United Kingdom,GBR,spring
Apr,74.1,1973,United Kingdom,GBR,spring
May,90.4,1973,United Kingdom,GBR,spring
Jun,66.1,1973,United Kingdom,GBR,summer
Jul,95.5,1973,United Kingdom,GBR,summer
Aug,82.4,1973,United Kingdom,GBR,summer
Sep,89.1,1973,United Kingdom,GBR,autumn
Oct,68.9,1973,United Kingdom,GBR,autumn
Nov,96.1,1973,United Kingdom,GBR,autumn
Dec,116.0,1973,United Kingdom,GBR,winter
Jan,176.8,1974,United Kingdom,GBR,winter
Feb,113.9,1974,United Kingdom,GBR,winter
Mar,61.1,1974,United Kingdom,GBR,spring
Apr,16.4,1974,United Kingdom,GBR,spring
May,53.5,1974,United Kingdom,GBR,spring
Jun,67.6,1974,United Kingdom,GBR,summer
Jul,88.8,1974,United Kingdom,GBR,summer
Aug,96.6,1974,United Kingdom,GBR,summer
Sep,145.2,1974,United Kingdom,GBR,autumn
Oct,100.1,1974,United Kingdom,GBR,autumn
Nov,146.9,1974,United Kingdom,GBR,autumn
Dec,140.6,1974,United Kingdom,GBR,winter
Jan,181.0,1975,United Kingdom,GBR,winter
Feb,41.6,1975,United Kingdom,GBR,winter
Mar,72.9,1975,United Kingdom,GBR,spring
Apr,80.4,1975,United Kingdom,GBR,spring
May,45.5,1975,United Kingdom,GBR,spring
Jun,36.1,1975,United Kingdom,GBR,summer
Jul,81.2,1975,United Kingdom,GBR,summer
Aug,66.0,1975,United Kingdom,GBR,summer
Sep,138.1,1975,United Kingdom,GBR,autumn
Oct,58.9,1975,United Kingdom,GBR,autumn
Nov,94.1,1975,United Kingdom,GBR,autumn
Dec,65.8,1975,United Kingdom,GBR,winter
Jan,117.6,1976,United Kingdom,GBR,winter
Feb,62.3,1976,United Kingdom,GBR,winter
Mar,83.3,1976,United Kingdom,GBR,spring
Apr,35.6,1976,United Kingdom,GBR,spring
May,88.0,1976,United Kingdom,GBR,spring
Jun,36.4,1976,United Kingdom,GBR,summer
Jul,44.8,1976,United Kingdom,GBR,summer
Aug,25.6,1976,United Kingdom,GBR,summer
Sep,156.1,1976,United Kingdom,GBR,autumn
Oct,179.6,1976,United Kingdom,GBR,autumn
Nov,101.8,1976,United Kingdom,GBR,autumn
Dec,104.3,1976,United Kingdom,GBR,winter
Jan,114.0,1977,United Kingdom,GBR,winter
Feb,149.8,1977,United Kingdom,GBR,winter
Mar,101.3,1977,United Kingdom,GBR,spring
Apr,77.7,1977,United Kingdom,GBR,spring
May,57.9,1977,United Kingdom,GBR,spring
Jun,82.2,1977,United Kingdom,GBR,summer
Jul,38.2,1977,United Kingdom,GBR,summer
Aug,101.6,1977,United Kingdom,GBR,summer
Sep,78.6,1977,United Kingdom,GBR,autumn
Oct,112.9,1977,United Kingdom,GBR,autumn
Nov,146.7,1977,United Kingdom,GBR,autumn
Dec,96.9,1977,United Kingdom,GBR,winter
Jan,137.6,1978,United Kingdom,GBR,winter
Feb,96.9,1978,United Kingdom,GBR,winter
Mar,119.5,1978,United Kingdom,GBR,spring
Apr,49.3,1978,United Kingdom,GBR,spring
May,42.0,1978,United Kingdom,GBR,spring
Jun,64.8,1978,United Kingdom,GBR,summer
Jul,86.9,1978,United Kingdom,GBR,summer
Aug,81.6,1978,United Kingdom,GBR,summer
Sep,103.4,1978,United Kingdom,GBR,autumn
Oct,47.7,1978,United Kingdom,GBR,autumn
Nov,115.4,1978,United Kingdom,GBR,autumn
Dec,173.8,1978,United Kingdom,GBR,winter
Jan,102.6,1979,United Kingdom,GBR,winter
Feb,56.1,1979,United Kingdom,GBR,winter
Mar,147.2,1979,United Kingdom,GBR,spring
Apr,79.7,1979,United Kingdom,GBR,spring
May,112.5,1979,United Kingdom,GBR,spring
Jun,49.2,1979,United Kingdom,GBR,summer
Jul,53.7,1979,United Kingdom,GBR,summer
Aug,111.9,1979,United Kingdom,GBR,summer
Sep,66.1,1979,United Kingdom,GBR,autumn
Oct,115.2,1979,United Kingdom,GBR,autumn
Nov,137.0,1979,United Kingdom,GBR,autumn
Dec,186.9,1979,United Kingdom,GBR,winter
Jan,104.2,1980,United Kingdom,GBR,winter
Feb,107.3,1980,United Kingdom,GBR,winter
Mar,114.2,1980,United Kingdom,GBR,spring
Apr,18.7,1980,United Kingdom,GBR,spring
May,31.2,1980,United Kingdom,GBR,spring
Jun,128.7,1980,United Kingdom,GBR,summer
Jul,90.7,1980,United Kingdom,GBR,summer
Aug,108.9,1980,United Kingdom,GBR,summer
Sep,107.4,1980,United Kingdom,GBR,autumn
Oct,155.5,1980,United Kingdom,GBR,autumn
Nov,127.4,1980,United Kingdom,GBR,autumn
Dec,129.3,1980,United Kingdom,GBR,winter
Jan,99.5,1981,United Kingdom,GBR,winter
Feb,70.0,1981,United Kingdom,GBR,winter
Mar,165.2,1981,United Kingdom,GBR,spring
Apr,49.9,1981,United Kingdom,GBR,spring
May,91.9,1981,United Kingdom,GBR,spring
Jun,65.9,1981,United Kingdom,GBR,summer
Jul,67.3,1981,United Kingdom,GBR,summer
Aug,45.5,1981,United Kingdom,GBR,summer
Sep,180.4,1981,United Kingdom,GBR,autumn
Oct,165.6,1981,United Kingdom,GBR,autumn
Nov,123.7,1981,United Kingdom,GBR,autumn
Dec,94.0,1981,United Kingdom,GBR,winter
Jan,115.8,1982,United Kingdom,GBR,winter
Feb,73.4,1982,United Kingdom,GBR,winter
Mar,128.5,1982,United Kingdom,GBR,spring
Apr,31.3,1982,United Kingdom,GBR,spring
May,59.0,1982,United Kingdom,GBR,spring
Jun,111.5,1982,United Kingdom,GBR,summer
Jul,42.1,1982,United Kingdom,GBR,summer
Aug,111.5,1982,United Kingdom,GBR,summer
Sep,124.6,1982,United Kingdom,GBR,autumn
Oct,150.3,1982,United Kingdom,GBR,autumn
Nov,171.7,1982,United Kingdom,GBR,autumn
Dec,149.3,1982,United Kingdom,GBR,winter
Jan,149.7,1983,United Kingdom,GBR,winter
Feb,51.9,1983,United Kingdom,GBR,winter
Mar,104.0,1983,United Kingdom,GBR,spring
Apr,95.9,1983,United Kingdom,GBR,spring
May,112.8,1983,United Kingdom,GBR,spring
Jun,54.4,1983,United Kingdom,GBR,summer
Jul,37.2,1983,United Kingdom,GBR,summer
Aug,43.1,1983,United Kingdom,GBR,summer
Sep,131.2,1983,United Kingdom,GBR,autumn
Oct,139.1,1983,United Kingdom,GBR,autumn
Nov,51.8,1983,United Kingdom,GBR,autumn
Dec,161.5,1983,United Kingdom,GBR,winter
Jan,182.1,1984,United Kingdom,GBR,winter
Feb,82.0,1984,United Kingdom,GBR,winter
Mar,83.8,1984,United Kingdom,GBR,spring
Apr,26.8,1984,United Kingdom,GBR,spring
May,48.8,1984,United Kingdom,GBR,spring
Jun,52.3,1984,United Kingdom,GBR,summer
Jul,34.2,1984,United Kingdom,GBR,summer
Aug,58.4,1984,United Kingdom,GBR,summer
Sep,145.0,1984,United Kingdom,GBR,autumn
Oct,146.0,1984,United Kingdom,GBR,autumn
Nov,196.5,1984,United Kingdom,GBR,autumn
Dec,114.8,1984,United Kingdom,GBR,winter
Jan,86.8,1985,United Kingdom,GBR,winter
Feb,36.2,1985,United Kingdom,GBR,winter
Mar,89.7,1985,United Kingdom,GBR,spring
Apr,86.6,1985,United Kingdom,GBR,spring
May,77.6,1985,United Kingdom,GBR,spring
Jun,96.4,1985,United Kingdom,GBR,summer
Jul,111.6,1985,United Kingdom,GBR,summer
Aug,150.7,1985,United Kingdom,GBR,summer
Sep,115.9,1985,United Kingdom,GBR,autumn
Oct,57.6,1985,United Kingdom,GBR,autumn
Nov,108.6,1985,United Kingdom,GBR,autumn
Dec,158.5,1985,United Kingdom,GBR,winter
Jan,158.9,1986,United Kingdom,GBR,winter
Feb,20.7,1986,United Kingdom,GBR,winter
Mar,110.9,1986,United Kingdom,GBR,spring
Apr,91.0,1986,United Kingdom,GBR,spring
May,117.3,1986,United Kingdom,GBR,spring
Jun,53.9,1986,United Kingdom,GBR,summer
Jul,68.5,1986,United Kingdom,GBR,summer
Aug,122.3,1986,United Kingdom,GBR,summer
Sep,33.2,1986,United Kingdom,GBR,autumn
Oct,116.0,1986,United Kingdom,GBR,autumn
Nov,150.4,1986,United Kingdom,GBR,autumn
Dec,200.1,1986,United Kingdom,GBR,winter
Jan,50.6,1987,United Kingdom,GBR,winter
Feb,77.0,1987,United Kingdom,GBR,winter
Mar,126.3,1987,United Kingdom,GBR,spring
Apr,73.1,1987,United Kingdom,GBR,spring
May,57.7,1987,United Kingdom,GBR,spring
Jun,110.6,1987,United Kingdom,GBR,summer
Jul,92.0,1987,United Kingdom,GBR,summer
Aug,93.3,1987,United Kingdom,GBR,summer
Sep,91.0,1987,United Kingdom,GBR,autumn
Oct,182.2,1987,United Kingdom,GBR,autumn
Nov,90.9,1987,United Kingdom,GBR,autumn
Dec,89.7,1987,United Kingdom,GBR,winter
Jan,189.3,1988,United Kingdom,GBR,winter
Feb,88.6,1988,United Kingdom,GBR,winter
Mar,138.3,1988,United Kingdom,GBR,spring
Apr,61.1,1988,United Kingdom,GBR,spring
May,62.1,1988,United Kingdom,GBR,spring
Jun,40.5,1988,United Kingdom,GBR,summer
Jul,159.2,1988,United Kingdom,GBR,summer
Aug,115.7,1988,United Kingdom,GBR,summer
Sep,92.2,1988,United Kingdom,GBR,autumn
Oct,129.1,1988,United Kingdom,GBR,autumn
Nov,70.1,1988,United Kingdom,GBR,autumn
Dec,78.9,1988,United Kingdom,GBR,winter
Jan,91.8,1989,United Kingdom,GBR,winter
Feb,145.1,1989,United Kingdom,GBR,winter
Mar,127.0,1989,United Kingdom,GBR,spring
Apr,83.6,1989,United Kingdom,GBR,spring
May,35.0,1989,United Kingdom,GBR,spring
Jun,68.0,1989,United Kingdom,GBR,summer
Jul,42.8,1989,United Kingdom,GBR,summer
Aug,101.0,1989,United Kingdom,GBR,summer
Sep,61.6,1989,United Kingdom,GBR,autumn
Oct,133.1,1989,United Kingdom,GBR,autumn
Nov,60.4,1989,United Kingdom,GBR,autumn
Dec,134.4,1989,United Kingdom,GBR,winter
Jan,178.9,1990,United Kingdom,GBR,winter
Feb,208.1,1990,United Kingdom,GBR,winter
Mar,93.9,1990,United Kingdom,GBR,spring
Apr,59.2,1990,United Kingdom,GBR,spring
May,39.8,1990,United Kingdom,GBR,spring
Jun,100.4,1990,United Kingdom,GBR,summer
Jul,47.3,1990,United Kingdom,GBR,summer
Aug,71.3,1990,United Kingdom,GBR,summer
Sep,85.2,1990,United Kingdom,GBR,autumn
Oct,157.9,1990,United Kingdom,GBR,autumn
Nov,85.4,1990,United Kingdom,GBR,autumn
Dec,144.8,1990,United Kingdom,GBR,winter
Jan,118.3,1991,United Kingdom,GBR,winter
Feb,81.4,1991,United Kingdom,GBR,winter
Mar,101.3,1991,United Kingdom,GBR,spring
Apr,89.2,1991,United Kingdom,GBR,spring
May,23.0,1991,United Kingdom,GBR,spring
Jun,108.5,1991,United Kingdom,GBR,summer
Jul,80.7,1991,United Kingdom,GBR,summer
Aug,41.3,1991,United Kingdom,GBR,summer
Sep,85.7,1991,United Kingdom,GBR,autumn
Oct,108.8,1991,United Kingdom,GBR,autumn
Nov,137.5,1991,United Kingdom,GBR,autumn
Dec,87.4,1991,United Kingdom,GBR,winter
Jan,92.2,1992,United Kingdom,GBR,winter
Feb,86.3,1992,United Kingdom,GBR,winter
Mar,134.7,1992,United Kingdom,GBR,spring
Apr,89.5,1992,United Kingdom,GBR,spring
May,60.9,1992,United Kingdom,GBR,spring
Jun,44.2,1992,United Kingdom,GBR,summer
Jul,87.3,1992,United Kingdom,GBR,summer
Aug,162.3,1992,United Kingdom,GBR,summer
Sep,129.4,1992,United Kingdom,GBR,autumn
Oct,104.4,1992,United Kingdom,GBR,autumn
Nov,170.4,1992,United Kingdom,GBR,autumn
Dec,107.8,1992,United Kingdom,GBR,winter
Jan,190.6,1993,United Kingdom,GBR,winter
Feb,28.8,1993,United Kingdom,GBR,winter
Mar,56.0,1993,United Kingdom,GBR,spring
Apr,107.5,1993,United Kingdom,GBR,spring
May,106.7,1993,United Kingdom,GBR,spring
Jun,75.2,1993,United Kingdom,GBR,summer
Jul,90.1,1993,United Kingdom,GBR,summer
Aug,64.1,1993,United Kingdom,GBR,summer
Sep,107.0,1993,United Kingdom,GBR,autumn
Oct,125.7,1993,United Kingdom,GBR,autumn
Nov,82.4,1993,United Kingdom,GBR,autumn
Dec,198.9,1993,United Kingdom,GBR,winter
Jan,162.7,1994,United Kingdom,GBR,winter
Feb,103.7,1994,United Kingdom,GBR,winter
Mar,154.3,1994,United Kingdom,GBR,spring
Apr,95.7,1994,United Kingdom,GBR,spring
