month,rainfall_mm,year,country,iso3,season
Jun,354.8,1971,Philippines,PHL,summer
Jul,321.9,1971,Philippines,PHL,summer
Aug,245.5,1971,Philippines,PHL,summer
Sep,216.7,1971,Philippines,PHL,autumn
Oct,439.5,1971,Philippines,PHL,autumn
Nov,313.0,1971,Philippines,PHL,autumn
Dec,236.1,1971,Philippines,PHL,winter
Jan,206.7,1972,Philippines,PHL,winter
Feb,67.6,1972,Philippines,PHL,winter
Mar,142.5,1972,Philippines,PHL,spring
Apr,72.0,1972,Philippines,PHL,spring
May,175.3,1972,Philippines,PHL,spring
Jun,373.2,1972,Philippines,PHL,summer
Jul,397.7,1972,Philippines,PHL,summer
Aug,342.9,1972,Philippines,PHL,summer
Sep,235.5,1972,Philippines,PHL,autumn
Oct,116.6,1972,Philippines,PHL,autumn
Nov,187.3,1972,Philippines,PHL,autumn
Dec,137.4,1972,Philippines,PHL,winter
Jan,29.9,1973,Philippines,PHL,winter
Feb,37.8,1973,Philippines,PHL,winter
Mar,33.3,1973,Philippines,PHL,spring
Apr,55.4,1973,Philippines,PHL,spring
May,108.6,1973,Philippines,PHL,spring
Jun,177.9,1973,Philippines,PHL,summer
Jul,290.3,1973,Philippines,PHL,summer
Aug,321.8,1973,Philippines,PHL,summer
Sep,292.4,1973,Philippines,PHL,autumn
Oct,386.2,1973,Philippines,PHL,autumn
Nov,398.2,1973,Philippines,PHL,autumn
Dec,207.2,1973,Philippines,PHL,winter
Jan,95.3,1974,Philippines,PHL,winter
Feb,104.3,1974,Philippines,PHL,winter
Mar,65.9,1974,Philippines,PHL,spring
Apr,115.1,1974,Philippines,PHL,spring
May,172.8,1974,Philippines,PHL,spring
Jun,264.7,1974,Philippines,PHL,summer
Jul,330.1,1974,Philippines,PHL,summer
Aug,250.0,1974,Philippines,PHL,summer
Sep,143.8,1974,Philippines,PHL,autumn
Oct,419.6,1974,Philippines,PHL,autumn
Nov,298.0,1974,Philippines,PHL,autumn
Dec,253.3,1974,Philippines,PHL,winter
Jan,171.6,1975,Philippines,PHL,winter
Feb,67.4,1975,Philippines,PHL,winter
Mar,76.2,1975,Philippines,PHL,spring
Apr,162.3,1975,Philippines,PHL,spring
May,147.6,1975,Philippines,PHL,spring
Jun,252.7,1975,Philippines,PHL,summer
Jul,216.6,1975,Philippines,PHL,summer
Aug,266.5,1975,Philippines,PHL,summer
Sep,237.8,1975,Philippines,PHL,autumn
Oct,278.6,1975,Philippines,PHL,autumn
Nov,163.0,1975,Philippines,PHL,autumn
Dec,274.4,1975,Philippines,PHL,winter
Jan,158.3,1976,Philippines,PHL,winter
Feb,71.1,1976,Philippines,PHL,winter
Mar,75.2,1976,Philippines,PHL,spring
Apr,51.7,1976,Philippines,PHL,spring
May,298.2,1976,Philippines,PHL,spring
Jun,269.4,1976,Philippines,PHL,summer
Jul,166.2,1976,Philippines,PHL,summer
Aug,320.0,1976,Philippines,PHL,summer
Sep,241.2,1976,Philippines,PHL,autumn
Oct,195.1,1976,Philippines,PHL,autumn
Nov,214.7,1976,Philippines,PHL,autumn
Dec,158.9,1976,Philippines,PHL,winter
Jan,136.9,1977,Philippines,PHL,winter
Feb,142.7,1977,Philippines,PHL,winter
Mar,63.1,1977,Philippines,PHL,spring
Apr,34.4,1977,Philippines,PHL,spring
May,122.7,1977,Philippines,PHL,spring
Jun,200.2,1977,Philippines,PHL,summer
Jul,375.3,1977,Philippines,PHL,summer
Aug,401.6,1977,Philippines,PHL,summer
Sep,339.2,1977,Philippines,PHL,autumn
Oct,129.9,1977,Philippines,PHL,autumn
Nov,224.8,1977,Philippines,PHL,autumn
Dec,52.7,1977,Philippines,PHL,winter
Jan,75.2,1978,Philippines,PHL,winter
Feb,76.7,1978,Philippines,PHL,winter
Mar,68.2,1978,Philippines,PHL,spring
Apr,113.1,1978,Philippines,PHL,spring
May,175.9,1978,Philippines,PHL,spring
Jun,196.1,1978,Philippines,PHL,summer
Jul,282.9,1978,Philippines,PHL,summer
Aug,314.6,1978,Philippines,PHL,summer
Sep,305.8,1978,Philippines,PHL,autumn
