month,rainfall_mm,year,country,iso3,season
Jan,65.0,1972,Australia,AUS,summer
Feb,71.4,1972,Australia,AUS,summer
Mar,78.2,1972,Australia,AUS,autumn
Apr,20.5,1972,Australia,AUS,autumn
May,14.3,1972,Australia,AUS,autumn
Jun,14.5,1972,Australia,AUS,winter
Jul,16.9,1972,Australia,AUS,winter
Aug,19.1,1972,Australia,AUS,winter
Sep,9.3,1972,Australia,AUS,spring
Oct,19.1,1972,Australia,AUS,spring
Nov,30.6,1972,Australia,AUS,spring
Dec,20.7,1972,Australia,AUS,summer
Jan,93.9,1973,Australia,AUS,summer
Feb,97.2,1973,Australia,AUS,summer
Mar,76.5,1973,Australia,AUS,autumn
Apr,32.9,1973,Australia,AUS,autumn
May,25.2,1973,Australia,AUS,autumn
Jun,38.0,1973,Australia,AUS,winter
Jul,37.1,1973,Australia,AUS,winter
Aug,33.7,1973,Australia,AUS,winter
Sep,29.7,1973,Australia,AUS,spring
Oct,36.5,1973,Australia,AUS,spring
Nov,73.4,1973,Australia,AUS,spring
Dec,85.0,1973,Australia,AUS,summer
Jan,208.7,1974,Australia,AUS,summer
Feb,104.5,1974,Australia,AUS,summer
Mar,92.4,1974,Australia,AUS,autumn
Apr,66.2,1974,Australia,AUS,autumn
May,42.7,1974,Australia,AUS,autumn
Jun,15.1,1974,Australia,AUS,winter
Jul,29.9,1974,Australia,AUS,winter
Aug,29.7,1974,Australia,AUS,winter
Sep,31.0,1974,Australia,AUS,spring
Oct,41.0,1974,Australia,AUS,spring
Nov,40.7,1974,Australia,AUS,spring
Dec,43.8,1974,Australia,AUS,summer
Jan,64.9,1975,Australia,AUS,summer
Feb,112.5,1975,Australia,AUS,summer
Mar,67.1,1975,Australia,AUS,autumn
Apr,38.6,1975,Australia,AUS,autumn
May,15.1,1975,Australia,AUS,autumn
Jun,21.7,1975,Australia,AUS,winter
Jul,23.9,1975,Australia,AUS,winter
Aug,24.1,1975,Australia,AUS,winter
Sep,33.7,1975,Australia,AUS,spring
Oct,66.6,1975,Australia,AUS,spring
Nov,33.9,1975,Australia,AUS,spring
Dec,91.9,1975,Australia,AUS,summer
Jan,117.6,1976,Australia,AUS,summer
Feb,133.0,1976,Australia,AUS,summer
Mar,79.0,1976,Australia,AUS,autumn
Apr,18.1,1976,Australia,AUS,autumn
May,11.3,1976,Australia,AUS,autumn
Jun,12.8,1976,Australia,AUS,winter
Jul,14.1,1976,Australia,AUS,winter
Aug,12.9,1976,Australia,AUS,winter
Sep,18.4,1976,Australia,AUS,spring
Oct,44.5,1976,Australia,AUS,spring
Nov,34.6,1976,Australia,AUS,spring
Dec,48.5,1976,Australia,AUS,summer
Jan,78.5,1977,Australia,AUS,summer
Feb,105.2,1977,Australia,AUS,summer
Mar,83.6,1977,Australia,AUS,autumn
Apr,25.4,1977,Australia,AUS,autumn
May,44.1,1977,Australia,AUS,autumn
Jun,14.8,1977,Australia,AUS,winter
Jul,7.9,1977,Australia,AUS,winter
Aug,10.7,1977,Australia,AUS,winter
Sep,12.1,1977,Australia,AUS,spring
Oct,14.4,1977,Australia,AUS,spring
Nov,35.2,1977,Australia,AUS,spring
Dec,51.0,1977,Australia,AUS,summer
Jan,104.7,1978,Australia,AUS,summer
Feb,64.2,1978,Australia,AUS,summer
Mar,38.9,1978,Australia,AUS,autumn
Apr,22.8,1978,Australia,AUS,autumn
May,42.1,1978,Australia,AUS,autumn
Jun,36.9,1978,Australia,AUS,winter
Jul,50.1,1978,Australia,AUS,winter
Aug,27.1,1978,Australia,AUS,winter
Sep,33.9,1978,Australia,AUS,spring
Oct,26.3,1978,Australia,AUS,spring
Nov,38.0,1978,Australia,AUS,spring
Dec,49.0,1978,Australia,AUS,summer
Jan,90.2,1979,Australia,AUS,summer
Feb,81.3,1979,Australia,AUS,summer
Mar,65.8,1979,Australia,AUS,autumn
Apr,28.1,1979,Australia,AUS,autumn
May,37.9,1979,Australia,AUS,autumn
Jun,18.5,1979,Australia,AUS,winter
Jul,10.4,1979,Australia,AUS,winter
Aug,20.5,1979,Australia,AUS,winter
Sep,27.1,1979,Australia,AUS,spring
Oct,21.1,1979,Australia,AUS,spring
Nov,28.8,1979,Australia,AUS,spring
Dec,32.1,1979,Australia,AUS,summer
Jan,79.1,1980,Australia,AUS,summer
Feb,93.2,1980,Australia,AUS,summer
Mar,38.4,1980,Australia,AUS,autumn
Apr,39.6,1980,Australia,AUS,autumn
May,35.4,1980,Australia,AUS,autumn
Jun,26.1,1980,Australia,AUS,winter
Jul,25.0,1980,Australia,AUS,winter
Aug,13.5,1980,Australia,AUS,winter
Sep,6.9,1980,Australia,AUS,spring
Oct,25.1,1980,Australia,AUS,spring
Nov,18.7,1980,Australia,AUS,spring
Dec,43.4,1980,Australia,AUS,summer
Jan,134.9,1981,Australia,AUS,summer
Feb,102.6,1981,Australia,AUS,summer
Mar,33.5,1981,Australia,AUS,autumn
Apr,18.6,1981,Australia,AUS,autumn
May,43.8,1981,Australia,AUS,autumn
Jun,31.1,1981,Australia,AUS,winter
Jul,32.3,1981,Australia,AUS,winter
Aug,18.6,1981,Australia,AUS,winter
Sep,10.5,1981,Australia,AUS,spring
Oct,19.2,1981,Australia,AUS,spring
Nov,56.8,1981,Australia,AUS,spring
Dec,45.5,1981,Australia,AUS,summer
Jan,83.1,1982,Australia,AUS,summer
Feb,90.1,1982,Australia,AUS,summer
Mar,92.0,1982,Australia,AUS,autumn
Apr,18.3,1982,Australia,AUS,autumn
May,17.4,1982,Australia,AUS,autumn
Jun,14.3,1982,Australia,AUS,winter
Jul,7.6,1982,Australia,AUS,winter
Aug,8.1,1982,Australia,AUS,winter
Sep,18.6,1982,Australia,AUS,spring
Oct,12.1,1982,Australia,AUS,spring
Nov,17.7,1982,Australia,AUS,spring
Dec,39.3,1982,Australia,AUS,summer
Jan,44.8,1983,Australia,AUS,summer
Feb,33.1,1983,Australia,AUS,summer
Mar,111.3,1983,Australia,AUS,autumn
Apr,62.3,1983,Australia,AUS,autumn
May,47.8,1983,Australia,AUS,autumn
Jun,24.2,1983,Australia,AUS,winter
Jul,18.9,1983,Australia,AUS,winter
Aug,22.1,1983,Australia,AUS,winter
Sep,18.0,1983,Australia,AUS,spring
Oct,26.7,1983,Australia,AUS,spring
Nov,50.2,1983,Australia,AUS,spring
Dec,50.2,1983,Australia,AUS,summer
Jan,144.4,1984,Australia,AUS,summer
Feb,67.8,1984,Australia,AUS,summer
Mar,81.4,1984,Australia,AUS,autumn
Apr,26.6,1984,Australia,AUS,autumn
May,22.0,1984,Australia,AUS,autumn
Jun,12.1,1984,Australia,AUS,winter
Jul,47.1,1984,Australia,AUS,winter
Aug,20.5,1984,Australia,AUS,winter
Sep,29.7,1984,Australia,AUS,spring
Oct,24.9,1984,Australia,AUS,spring
Nov,25.2,1984,Australia,AUS,spring
Dec,55.3,1984,Australia,AUS,summer
Jan,40.5,1985,Australia,AUS,summer
Feb,64.0,1985,Australia,AUS,summer
Mar,51.5,1985,Australia,AUS,autumn
Apr,29.7,1985,Australia,AUS,autumn
May,21.0,1985,Australia,AUS,autumn
Jun,23.0,1985,Australia,AUS,winter
Jul,22.5,1985,Australia,AUS,winter
Aug,26.3,1985,Australia,AUS,winter
Sep,11.5,1985,Australia,AUS,spring
Oct,32.4,1985,Australia,AUS,spring
Nov,48.1,1985,Australia,AUS,spring
Dec,44.6,1985,Australia,AUS,summer
Jan,79.5,1986,Australia,AUS,summer
Feb,48.4,1986,Australia,AUS,summer
Mar,20.0,1986,Australia,AUS,autumn
Apr,18.6,1986,Australia,AUS,autumn
May,27.4,1986,Australia,AUS,autumn
Jun,30.7,1986,Australia,AUS,winter
Jul,47.4,1986,Australia,AUS,winter
Aug,24.1,1986,Australia,AUS,winter
Sep,19.6,1986,Australia,AUS,spring
Oct,38.5,1986,Australia,AUS,spring
Nov,26.2,1986,Australia,AUS,spring
Dec,32.0,1986,Australia,AUS,summer
Jan,92.5,1987,Australia,AUS,summer
Feb,95.5,1987,Australia,AUS,summer
Mar,33.6,1987,Australia,AUS,autumn
Apr,18.6,1987,Australia,AUS,autumn
May,24.5,1987,Australia,AUS,autumn
Jun,30.9,1987,Australia,AUS,winter
Jul,17.7,1987,Australia,AUS,winter
Aug,19.7,1987,Australia,AUS,winter
Sep,9.7,1987,Australia,AUS,spring
Oct,19.3,1987,Australia,AUS,spring
Nov,33.2,1987,Australia,AUS,spring
Dec,76.7,1987,Australia,AUS,summer
