month,rainfall_mm,year,country,iso3,season
Mar,17.3,1973,France,FRA,spring
Apr,48.9,1973,France,FRA,spring
May,80.1,1973,France,FRA,spring
Jun,63.7,1973,France,FRA,summer
Jul,75.8,1973,France,FRA,summer
Aug,45.0,1973,France,FRA,summer
Sep,74.0,1973,France,FRA,autumn
Oct,66.2,1973,France,FRA,autumn
Nov,46.7,1973,France,FRA,autumn
Dec,81.6,1973,France,FRA,winter
Jan,65.5,1974,France,FRA,winter
Feb,88.1,1974,France,FRA,winter
Mar,79.7,1974,France,FRA,spring
Apr,52.4,1974,France,FRA,spring
May,64.2,1974,France,FRA,spring
Jun,66.7,1974,France,FRA,summer
Jul,43.6,1974,France,FRA,summer
Aug,66.1,1974,France,FRA,summer
Sep,117.3,1974,France,FRA,autumn
Oct,106.5,1974,France,FRA,autumn
Nov,93.8,1974,France,FRA,autumn
Dec,45.6,1974,France,FRA,winter
Jan,77.8,1975,France,FRA,winter
Feb,28.5,1975,France,FRA,winter
Mar,89.3,1975,France,FRA,spring
Apr,51.4,1975,France,FRA,spring
May,90.8,1975,France,FRA,spring
Jun,51.3,1975,France,FRA,summer
Jul,40.2,1975,France,FRA,summer
Aug,78.5,1975,France,FRA,summer
Sep,119.0,1975,France,FRA,autumn
Oct,36.1,1975,France,FRA,autumn
Nov,107.7,1975,France,FRA,autumn
Dec,46.8,1975,France,FRA,winter
Jan,33.1,1976,France,FRA,winter
Feb,55.2,1976,France,FRA,winter
Mar,35.5,1976,France,FRA,spring
Apr,44.2,1976,France,FRA,spring
May,39.0,1976,France,FRA,spring
Jun,11.6,1976,France,FRA,summer
Jul,62.1,1976,France,FRA,summer
Aug,55.3,1976,France,FRA,summer
Sep,104.5,1976,France,FRA,autumn
Oct,125.1,1976,France,FRA,autumn
Nov,98.7,1976,France,FRA,autumn
Dec,84.2,1976,France,FRA,winter
Jan,94.7,1977,France,FRA,winter
Feb,106.5,1977,France,FRA,winter
Mar,71.4,1977,France,FRA,spring
Apr,62.6,1977,France,FRA,spring
May,121.9,1977,France,FRA,spring
Jun,97.2,1977,France,FRA,summer
Jul,103.1,1977,France,FRA,summer
Aug,88.9,1977,France,FRA,summer
Sep,16.2,1977,France,FRA,autumn
Oct,88.6,1977,France,FRA,autumn
Nov,79.4,1977,France,FRA,autumn
Dec,79.0,1977,France,FRA,winter
Jan,106.9,1978,France,FRA,winter
Feb,92.0,1978,France,FRA,winter
Mar,104.5,1978,France,FRA,spring
Apr,77.1,1978,France,FRA,spring
May,81.2,1978,France,FRA,spring
Jun,65.9,1978,France,FRA,summer
Jul,56.9,1978,France,FRA,summer
Aug,41.9,1978,France,FRA,summer
Sep,36.5,1978,France,FRA,autumn
Oct,19.1,1978,France,FRA,autumn
Nov,16.1,1978,France,FRA,autumn
Dec,121.7,1978,France,FRA,winter
Jan,100.1,1979,France,FRA,winter
Feb,93.7,1979,France,FRA,winter
Mar,115.6,1979,France,FRA,spring
Apr,72.3,1979,France,FRA,spring
May,84.4,1979,France,FRA,spring
Jun,55.8,1979,France,FRA,summer
Jul,31.2,1979,France,FRA,summer
Aug,70.9,1979,France,FRA,summer
Sep,37.6,1979,France,FRA,autumn
Oct,139.7,1979,France,FRA,autumn
Nov,65.8,1979,France,FRA,autumn
Dec,117.1,1979,France,FRA,winter
Jan,69.9,1980,France,FRA,winter
Feb,57.3,1980,France,FRA,winter
Mar,92.5,1980,France,FRA,spring
Apr,31.5,1980,France,FRA,spring
May,86.9,1980,France,FRA,spring
Jun,84.0,1980,France,FRA,summer
Jul,80.4,1980,France,FRA,summer
Aug,55.8,1980,France,FRA,summer
Sep,49.1,1980,France,FRA,autumn
Oct,94.5,1980,France,FRA,autumn
Nov,68.7,1980,France,FRA,autumn
Dec,65.9,1980,France,FRA,winter
Jan,75.9,1981,France,FRA,winter
Feb,45.3,1981,France,FRA,winter
Mar,90.8,1981,France,FRA,spring
Apr,43.4,1981,France,FRA,spring
May,114.9,1981,France,FRA,spring
Jun,80.6,1981,France,FRA,summer
Jul,69.6,1981,France,FRA,summer
Aug,35.3,1981,France,FRA,summer
Sep,93.2,1981,France,FRA,autumn
Oct,120.3,1981,France,FRA,autumn
Nov,32.2,1981,France,FRA,autumn
Dec,154.2,1981,France,FRA,winter
Jan,80.3,1982,France,FRA,winter
Feb,41.8,1982,France,FRA,winter
Mar,68.4,1982,France,FRA,spring
Apr,21.8,1982,France,FRA,spring
May,56.0,1982,France,FRA,spring
Jun,86.9,1982,France,FRA,summer
Jul,67.8,1982,France,FRA,summer
Aug,67.1,1982,France,FRA,summer
Sep,70.5,1982,France,FRA,autumn
Oct,128.7,1982,France,FRA,autumn
Nov,103.0,1982,France,FRA,autumn
Dec,115.6,1982,France,FRA,winter
Jan,42.2,1983,France,FRA,winter
Feb,71.2,1983,France,FRA,winter
Mar,58.7,1983,France,FRA,spring
Apr,125.5,1983,France,FRA,spring
May,121.2,1983,France,FRA,spring
Jun,56.7,1983,France,FRA,summer
Jul,40.0,1983,France,FRA,summer
Aug,80.1,1983,France,FRA,summer
Sep,59.9,1983,France,FRA,autumn
Oct,57.2,1983,France,FRA,autumn
Nov,49.1,1983,France,FRA,autumn
Dec,62.1,1983,France,FRA,winter
Jan,114.9,1984,France,FRA,winter
Feb,58.7,1984,France,FRA,winter
Mar,63.7,1984,France,FRA,spring
Apr,21.1,1984,France,FRA,spring
May,131.2,1984,France,FRA,spring
Jun,52.1,1984,France,FRA,summer
Jul,31.7,1984,France,FRA,summer
Aug,63.4,1984,France,FRA,summer
Sep,104.4,1984,France,FRA,autumn
